GID_3,population_BEN_2020
BEN.1.1.1_1,2269148.417838887
BEN.1.1.2_1,5979876.568700095
BEN.1.1.3_1,1104056.3345468263
BEN.1.1.4_1,5410707.802241528
BEN.1.1.5_1,2649143.4173602685
BEN.1.1.6_1,1686740.446443684
BEN.1.1.7_1,1743220.073309326
BEN.1.1.8_1,1806655.7583194892
BEN.1.1.9_1,3110050.552130736
BEN.1.1.10_1,1004032.3488150351
BEN.1.2.1_1,3438075.25880505
BEN.1.2.2_1,685331.8541404284
BEN.1.2.3_1,1274360.1722967324
BEN.1.2.4_1,2840616.139973663
BEN.1.2.5_1,2042727.157646101
BEN.1.2.6_1,1426010.12394923
BEN.1.3.1_1,4859291.889687079
BEN.1.3.2_1,1660405.005426979
BEN.1.3.3_1,2642143.940991645
BEN.1.3.4_1,2565503.0510050026
BEN.1.3.5_1,1336802.2948057286
BEN.1.3.6_1,790291.728083622
BEN.1.3.7_1,2126814.899466064
BEN.1.3.8_1,1682687.117564713
BEN.1.3.9_1,1292455.7276199113
BEN.1.3.10_1,2035226.6163450144
BEN.1.4.1_1,825983.4867946256
BEN.1.4.2_1,294867.4060338934
BEN.1.4.3_1,3436007.910931357
BEN.1.4.4_1,1674959.080475731
BEN.1.4.5_1,2295331.322114963
BEN.1.5.1_1,2037584.2392906875
BEN.1.5.2_1,6882908.850729552
BEN.1.5.3_1,2756490.6264940626
BEN.1.5.4_1,3759038.737107952
BEN.1.5.5_1,3239575.431823492
BEN.1.6.1_1,1479525.80184641
BEN.1.6.2_1,1301935.3276053767
BEN.1.6.3_1,3393124.7141630584
BEN.1.6.4_1,1877898.7290764253
BEN.1.6.5_1,2575724.927966455
BEN.2.1.1_1,824051.1530208066
BEN.2.1.2_1,149590.92244689047
BEN.2.1.3_1,770275.9015649089
BEN.2.1.4_1,768465.6332967726
BEN.2.1.5_1,1850128.397911177
BEN.2.1.6_1,978477.9074884751
BEN.2.1.7_1,884688.6265317284
BEN.2.1.8_1,570112.8842767754
BEN.2.2.1_1,2697981.860594536
BEN.2.2.2_1,1489562.9312327749
BEN.2.2.3_1,955070.4080074396
BEN.2.2.4_1,1056884.5515063417
BEN.2.3.1_1,2066264.7863122688
BEN.2.3.2_1,2479974.55302354
BEN.2.3.3_1,3013052.290798867
BEN.2.3.4_1,2817516.130414162
BEN.2.4.1_1,1694918.0709341483
BEN.2.4.2_1,903168.7182480904
BEN.2.4.3_1,1218616.9235023637
BEN.2.4.4_1,3639360.6034696745
BEN.2.4.5_1,2104525.4391868063
BEN.2.4.6_1,2217996.0844150432
BEN.2.5.1_1,1732350.6066268492
BEN.2.5.2_1,2697898.888719252
BEN.2.5.3_1,3038640.988433236
BEN.2.5.4_1,970069.5373104464
BEN.2.5.5_1,1857832.9198228717
BEN.2.5.6_1,1299193.9772826403
BEN.2.6.1_1,1757881.2813073033
BEN.2.6.2_1,1171297.230551044
BEN.2.6.3_1,588470.5978823275
BEN.2.6.4_1,369500.3946964636
BEN.2.6.5_1,964658.6213182195
BEN.2.6.6_1,2111553.4493282223
BEN.2.6.7_1,1475459.067936343
BEN.2.6.8_1,1307125.4265063587
BEN.2.7.1_1,1499127.6338046582
