ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BF130001,0.2421915978193283,0.3000761866569519,0.27748237906604967,0.27583736181259155,0.011945680665823157,9.724069968797266E-4,0.0022043054923415184,0.0014323737290597958,0.0014089393662288785,3.7223044603862935E-4
BF130002,0.20829463005065918,0.3053542673587799,0.26263534783422693,0.2686155140399933,0.02563653152779858,3.5900503280572593E-4,0.002381499158218503,0.0013888717828626153,0.0012978259474039078,4.0793326861960586E-4
BF130003,0.20366744697093964,0.30786505341529846,0.24823397164133712,0.2531595528125763,0.02219753926386109,6.829773774370551E-4,0.00240549398586154,0.0016673549193688085,0.001637687673792243,4.534189886065214E-4
BF130004,0.12290874868631363,0.27968645095825195,0.18109092750269132,0.1886720508337021,0.04675623207796527,1.9097076437901706E-4,0.0013834524434059858,4.309131047865722E-4,3.06990317767486E-4,3.3137571958356127E-4
BF130005,0.17702937126159668,0.3045109510421753,0.2566211944145541,0.2625892758369446,0.033682587821329026,2.694435534067452E-4,0.001224351697601378,8.107194062998337E-4,7.452327408827841E-4,2.172243999624249E-4
BF130006,0.14948402345180511,0.30786505341529846,0.24021944256542288,0.24705158174037933,0.031406050855625645,2.034460339928046E-4,0.0025524511002004147,0.0013258691151168487,0.001444391324184835,5.148513733863449E-4
BF130007,0.21154935657978058,0.3087746500968933,0.25949510807193144,0.25304704904556274,0.02138604709172826,4.943434614688158E-4,0.002140624448657036,0.0010795736814896133,0.0010772194946184754,3.6529062765296177E-4
BF460101,0.20568940043449402,0.2857612669467926,0.2480553850008927,0.2476821392774582,0.01695651740932955,0.0011842064559459686,0.0039042590651661158,0.002601975363673763,0.002649187808856368,8.044501910418384E-4
BF460102,0.20370985567569733,0.25177618861198425,0.21583183088656432,0.2106475532054901,0.015960102053549682,0.0016465240623801947,0.0034937579184770584,0.0024867713330382385,0.00243770400993526,5.473912389345969E-4
BF460103,0.20246800780296326,0.2938510775566101,0.2620274449877155,0.26596593856811523,0.018897405856948695,0.0011893411865457892,0.0040971520356833935,0.0024071444250592716,0.0023661176674067974,8.350070589469145E-4
