ADM2_PCODE,ADM1_PCODE,civilian_fatalities,political_fatalities
BF1300,BF13,71,103
BF4601,BF46,2,3
BF4602,BF46,0,1
BF4603,BF46,65,109
BF4604,BF46,0,2
BF4605,BF46,0,0
BF4606,BF46,36,177
BF4701,BF47,20,113
BF4702,BF47,0,3
BF4801,BF48,17,27
BF4802,BF48,21,30
BF4803,BF48,0,0
BF4901,BF49,146,211
BF4902,BF49,20,72
BF4903,BF49,409,633
BF5001,BF50,2,2
BF5002,BF50,4,12
BF5003,BF50,1,6
BF5004,BF50,3,3
BF5101,BF51,0,0
BF5102,BF51,7,30
BF5103,BF51,0,2
BF5201,BF52,5,24
BF5202,BF52,208,461
BF5203,BF52,82,181
BF5204,BF52,76,185
BF5205,BF52,67,113
BF5301,BF53,3,11
BF5302,BF53,1,11
BF5303,BF53,1,1
BF5401,BF54,209,500
BF5402,BF54,1,1
BF5403,BF54,109,258
BF5404,BF54,2,3
BF5501,BF55,2,3
BF5502,BF55,0,0
BF5503,BF55,1,1
BF5601,BF56,348,1078
BF5602,BF56,146,297
BF5603,BF56,1028,2085
BF5604,BF56,336,587
BF5701,BF57,0,3
BF5702,BF57,0,0
BF5703,BF57,4,6
BF5704,BF57,27,55
