ADM3_PCODE,road_km
BF130001,0.0
BF130002,0.0
BF130003,0.0
BF130004,0.0
BF130005,0.0
BF130006,0.0
BF130007,0.0
BF460101,0.0
BF460102,0.0
BF460103,0.0
BF460104,0.0
BF460105,0.0
BF460106,0.0
BF460107,0.0
BF460108,0.0
BF460109,0.0
BF460110,0.0
BF460201,0.0
BF460202,0.0
BF460203,0.0
BF460204,0.0
BF460205,0.0
BF460206,0.0
BF460301,0.0
BF460302,0.0
BF460303,0.0
BF460304,0.0
BF460305,0.0
BF460306,0.0
BF460307,0.0
BF460308,0.0
BF460309,0.0
BF460311,0.0
BF460401,0.0
BF460402,0.0
BF460403,0.0
BF460404,0.0
BF460405,0.0
BF460406,0.0
BF460407,0.0
BF460501,0.0
BF460502,0.0
BF460503,0.0
BF460504,0.0
BF460505,0.0
BF460506,0.0
BF460601,0.0
BF460602,0.0
BF460603,0.0
BF460604,0.0
BF460605,0.0
BF460606,0.0
BF460607,0.0
BF460608,0.0
BF470101,0.0
BF470102,0.0
BF470103,0.0
BF470104,0.0
BF470105,0.0
BF470106,0.0
BF470107,0.0
BF470108,0.0
BF470109,0.0
BF470201,0.0
BF470202,0.0
BF470203,0.0
BF470204,0.0
BF470205,0.0
BF470206,0.0
BF470207,0.0
BF470208,0.0
BF480101,0.0
BF480102,0.0
BF480103,0.0
BF480104,0.0
BF480105,0.0
BF480106,0.0
BF480107,0.0
BF480108,0.0
BF480109,0.0
BF480110,0.0
BF480111,0.0
BF480112,0.0
BF480113,0.0
BF480202,0.0
BF480201,0.0
BF480203,0.0
BF480204,0.0
BF480205,0.0
BF480206,0.0
BF480207,0.0
BF480208,0.0
BF480301,0.0
BF480302,0.0
BF480303,0.0
BF480304,0.0
BF480305,0.0
BF480306,0.0
BF480307,0.0
BF480308,0.0
BF480309,0.0
BF490101,0.0
BF490102,0.0
BF490103,0.0
BF490104,0.0
BF490105,0.0
BF490106,0.0
BF490107,0.0
BF490108,0.0
BF490109,0.0
BF490201,0.0
BF490202,0.0
BF490203,0.0
BF490204,0.0
BF490205,0.0
BF490206,0.0
BF490207,0.0
BF490208,0.0
BF490301,0.0
BF490302,0.0
BF490303,0.0
BF490304,0.0
BF490305,0.0
BF490306,0.0
BF490307,0.0
BF490308,0.0
BF490309,0.0
BF490310,0.0
BF490311,0.0
BF500101,0.0
BF500102,0.0
BF500103,0.0
BF500104,0.0
BF500105,0.0
BF500107,0.0
BF500106,0.0
BF500108,0.0
BF500109,0.0
BF500110,0.0
BF500111,0.0
BF500112,0.0
BF500113,0.0
BF500114,0.0
BF500115,0.0
BF500201,0.0
BF500202,0.0
BF500203,0.0
BF500204,0.0
BF500205,0.0
BF500206,0.0
BF500207,0.0
BF500208,0.0
BF500209,0.0
BF500210,0.0
BF500301,0.0
BF500302,0.0
BF500303,0.0
BF500304,0.0
BF500305,0.0
BF500306,0.0
BF500307,0.0
BF500401,0.0
BF500402,0.0
BF500404,0.0
BF500405,0.0
BF500403,0.0
BF500406,0.0
BF510101,0.0
BF510102,0.0
BF510103,0.0
BF510104,0.0
BF510105,0.0
BF510106,0.0
BF510107,0.0
BF510201,0.0
BF510202,0.0
BF510203,0.0
BF510204,0.0
BF510205,0.0
BF510301,0.0
BF510302,0.0
BF510303,0.0
BF510304,0.0
BF510305,0.0
BF510306,0.0
BF510307,0.0
BF520101,0.0
BF520102,0.0
BF520103,0.0
BF520104,0.0
BF520105,0.0
BF520106,0.0
BF520107,0.0
BF520201,0.0
BF520202,0.0
BF520203,0.0
BF520204,0.0
BF520205,0.0
BF520206,0.0
BF520301,0.0
BF520302,0.0
BF520303,0.0
BF520401,0.0
BF520402,0.0
BF520403,0.0
BF520501,0.0
BF520502,0.0
BF520503,0.0
BF520504,0.0
BF520505,0.0
BF520506,0.0
BF520507,0.0
BF520508,0.0
BF530101,0.0
BF530102,0.0
BF530103,0.0
BF530104,0.0
BF530105,0.0
BF530106,0.0
BF530107,0.0
BF530108,0.0
BF530109,0.0
BF530110,0.0
BF530111,0.0
BF530112,0.0
BF530113,0.0
BF530201,0.0
BF530202,0.0
BF530203,0.0
BF530204,0.0
BF530205,0.0
BF530206,0.0
BF530207,0.0
BF530208,0.0
BF530209,0.0
BF530210,0.0
BF530212,0.0
BF530211,0.0
BF530213,0.0
BF530301,0.0
BF530302,0.0
BF530303,0.0
BF530304,0.0
BF530305,0.0
BF530306,0.0
BF530307,0.0
BF540101,0.0
BF540102,0.0
BF540103,0.0
BF540104,0.0
BF540201,0.0
BF540202,0.0
BF540204,0.0
BF540205,0.0
BF540206,0.0
BF540207,0.0
BF540208,0.0
BF540209,0.0
BF540210,0.0
BF540301,0.0
BF540302,0.0
BF540303,0.0
BF540304,0.0
BF540305,0.0
BF540306,0.0
BF540307,0.0
BF540308,0.0
BF540309,0.0
BF540310,0.0
BF540311,0.0
BF540312,0.0
BF540313,0.0
BF540401,0.0
BF540402,0.0
BF540403,0.0
BF540404,0.0
BF540405,0.0
BF550101,0.0
BF550102,0.0
BF550103,0.0
BF550104,0.0
BF550105,0.0
BF550106,0.0
BF550107,0.0
BF550108,0.0
BF550201,0.0
BF550202,0.0
BF550203,0.0
BF550204,0.0
BF550205,0.0
BF550301,0.0
BF550302,0.0
BF550303,0.0
BF550304,0.0
BF550305,0.0
BF550306,0.0
BF550307,0.0
BF560101,0.0
BF560102,0.0
BF560103,0.0
BF560104,0.0
BF560105,0.0
BF560201,0.0
BF560202,0.0
BF560203,0.0
BF560204,0.0
BF560205,0.0
BF560206,0.0
BF560301,0.0
BF560302,0.0
BF560303,0.0
BF560304,0.0
BF560305,0.0
BF560306,0.0
BF560307,0.0
BF560308,0.0
BF560309,0.0
BF560401,0.0
BF560402,0.0
BF560403,0.0
BF560404,0.0
BF560405,0.0
BF560406,0.0
BF570102,0.0
BF570103,0.0
BF570101,0.0
BF570104,0.0
BF570105,0.0
BF570201,0.0
BF570202,0.0
BF570203,0.0
BF570204,0.0
BF570205,0.0
BF570206,0.0
BF570207,0.0
BF570208,0.0
BF570301,0.0
BF570302,0.0
BF570303,0.0
BF570304,0.0
BF570305,0.0
BF570401,0.0
BF570402,0.0
BF570403,0.0
BF570404,0.0
BF570405,0.0
BF570406,0.0
BF570407,0.0
BF570408,0.0
BF570409,0.0
BF570410,0.0
