ADM3_PCODE,population_BFA_2020
BF130001,17727.30178034809
BF130002,112779.39767815683
BF130003,39853.25763286143
BF130004,2976474.7676874343
BF130005,26130.820979913588
BF130006,98799.71951954156
BF130007,54935.315885315424
BF460101,34337.39035591668
BF460102,15000.462547469835
BF460103,26925.80445473356
BF460104,43029.26096987086
BF460105,28620.982363758514
BF460106,28769.476407591887
BF460107,12515.040178851867
BF460108,12137.345706923283
BF460109,18135.216003822108
BF460110,18245.785753296903
BF460201,19506.38334643425
BF460202,55381.51211738541
BF460203,10239.869031188231
BF460204,32575.296606310196
BF460205,137806.06734847592
BF460206,33611.277903991475
BF460301,56364.54139787443
BF460302,12471.804802795656
BF460303,9685.679509732978
BF460304,49755.83439674074
BF460305,30987.777775923132
BF460306,27683.26316892917
BF460307,11786.271853643075
BF460308,3999.925230851418
BF460309,72136.07289914931
BF460311,7875.262256963924
BF460401,59552.24730483718
BF460402,99856.77233187068
BF460403,13397.024590062123
BF460404,22980.059037052786
BF460405,40101.59884172222
BF460406,54024.42602933455
BF460407,39617.877776257876
BF460501,34331.18533338127
BF460502,17006.177760830637
BF460503,17836.525976961104
BF460504,28970.320078309658
BF460505,32553.587538463606
BF460506,33604.48241662862
BF460601,20687.538502003503
BF460602,13883.065449517091
BF460603,19759.59977408673
BF460604,30515.412955635038
BF460605,19610.353859768045
BF460606,18963.2409312645
BF460607,29195.73719380276
BF460608,63238.94613618555
BF470101,133156.01021729724
BF470102,11279.971825074606
BF470103,79432.26253109328
BF470104,14835.701557831868
BF470105,94227.23512298943
BF470106,92787.29075840117
BF470107,190833.51253011497
BF470108,40046.23926762722
BF470109,85203.40907175656
BF470201,15588.965049168013
BF470202,9300.777640653423
BF470203,10450.923768382703
BF470204,32420.39280843787
BF470205,41187.31445700256
BF470206,11187.129538038726
BF470207,19427.298927697942
BF470208,4936.790609352403
BF480101,38240.76191981482
BF480102,30993.5475587971
BF480103,23362.35920728399
BF480104,58566.49814617787
BF480105,89516.54172894207
BF480106,25115.42137941485
BF480107,82758.26139706426
BF480108,23695.204429065347
BF480109,17018.1181715845
BF480110,134692.58194446546
BF480111,88332.97808969815
BF480112,9654.749803776967
BF480113,13709.331120982013
BF480202,12666.359133954373
BF480201,62062.82167462834
BF480203,14765.181726545905
BF480204,45127.781027486024
BF480205,51818.15410637673
BF480206,50458.66205892786
BF480207,48485.7660853809
BF480208,31276.9173379344
BF480301,53456.01571463838
BF480302,15742.055747875162
BF480303,41042.97414192279
BF480304,30754.72116412418
BF480305,34776.91337859197
BF480306,70064.4954455227
BF480307,99208.18780077522
BF480308,20374.7009330139
BF480309,18888.072294384627
BF490101,57740.944439521256
BF490102,23612.962762416784
BF490103,81840.58207065224
BF490104,11156.325587068462
BF490105,33060.96052608496
BF490106,13860.31141811538
BF490107,24958.638416694095
BF490108,36281.47800098306
BF490109,30222.116788896445
BF490201,38521.317434663986
BF490202,86758.5236272599
BF490203,47029.187024539126
BF490204,30289.76225342526
BF490205,21849.22159093276
BF490206,91280.28526467455
BF490207,37529.78110062457
BF490208,25006.516686685587
BF490301,100456.90219961632
BF490302,91773.0721052914
BF490303,25250.623921950773
BF490304,133826.80750431414
BF490305,51221.56453917511
BF490306,52967.833555906574
BF490307,9750.907166356428
BF490308,41068.30731945467
BF490309,32475.624326660844
BF490310,110327.69350833904
BF490311,31824.576245753684
BF500101,14775.627744008863
BF500102,27339.958503725786
BF500103,33531.65912580407
BF500104,33286.728099662534
BF500105,144851.16160816388
BF500107,26859.093018391988
BF500106,32505.867686305442
BF500108,20800.13433210227
BF500109,29297.26588402509
BF500110,19221.610939097267
BF500111,49266.005477770064
BF500112,25780.754922733864
BF500113,16732.2763730512
BF500114,13631.47429411452
BF500115,46889.237192073844
BF500201,16560.843753868212
BF500202,41408.372167549
BF500203,21077.731804549287
BF500204,16853.47263336594
BF500205,21816.121164281754
BF500206,42835.26348374326
BF500207,60654.45353530093
BF500208,39626.556788943955
BF500209,15171.395955233675
