ADM3_PCODE,degRural_mean,degRural_median
BF130001,0.8494829841759111,1.0
BF130002,0.8251032317510152,1.0
BF130003,0.9569796806668629,1.0
BF130004,0.1424446378904011,0.0
BF130005,0.9605312771011653,1.0
BF130006,0.901670574443142,1.0
BF130007,0.8429576808351975,1.0
BF460101,0.9671169788148606,1.0
BF460102,0.9681138398439456,1.0
BF460103,0.9857325553512909,1.0
BF460104,0.9873731121564744,1.0
BF460105,0.9894948091998399,1.0
BF460106,0.977832701076752,1.0
BF460107,1.0,1.0
BF460108,0.9414174675498718,1.0
BF460109,0.9821423569287655,1.0
BF460110,0.9843337224304235,1.0
BF460201,0.9838300705442388,1.0
BF460202,0.9863166593331116,1.0
BF460203,1.0,1.0
BF460204,0.9913790553304062,1.0
BF460205,0.9855706208249233,1.0
BF460206,0.9943771705775344,1.0
BF460301,0.9961020383835973,1.0
BF460302,0.9855421686746988,1.0
BF460303,1.0,1.0
BF460304,0.9918232914801903,1.0
BF460305,0.9972870744750227,1.0
BF460306,0.9876422554095421,1.0
BF460307,1.0,1.0
BF460308,1.0,1.0
BF460309,0.9904209521949168,1.0
BF460311,0.9900263434623765,1.0
BF460401,0.9903229172925673,1.0
BF460402,0.9781529068057265,1.0
BF460403,0.9937048953696008,1.0
BF460404,0.995092032411833,1.0
BF460405,0.9925501223386772,1.0
BF460406,0.9908199632798531,1.0
BF460407,0.9962047020021313,1.0
BF460501,0.9913185578592583,1.0
BF460502,1.0,1.0
BF460503,0.9880704544922926,1.0
BF460504,0.9776629292221444,1.0
BF460505,0.9805657172720144,1.0
BF460506,0.9895209965326826,1.0
BF460601,0.9712386874268383,1.0
BF460602,0.988052102205285,1.0
BF460603,1.0,1.0
BF460604,0.9864897799158657,1.0
BF460605,0.9483444795470399,1.0
BF460606,0.9865209519908025,1.0
BF460607,1.0,1.0
BF460608,0.9914684332028505,1.0
BF470101,0.9552317415730337,1.0
BF470102,0.9671890303623897,1.0
BF470103,0.9949418426340869,1.0
BF470104,0.9660950540049891,1.0
BF470105,0.9935908624409181,1.0
BF470106,1.0,1.0
