ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
BF130001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF130002,5.0,0.0,1.0,1.0,3.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.0,0.0
BF130003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0
BF130004,149.0,14.0,3.0,30.0,93.0,2.0,7.0,1.0,0.25,0.25,1.0,0.5,0.5,0.25
BF130005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF130006,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0
BF130007,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0
BF460101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460103,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
BF460104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460106,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
BF460107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460109,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
BF460110,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
BF460201,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
BF460202,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.25,0.0,0.0,0.0,0.125,0.125,0.25
BF460203,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
BF460204,21.0,5.0,2.0,0.0,0.0,2.0,12.0,0.75,0.5,0.25,0.0,0.0,0.25,0.375
BF460205,41.0,2.0,4.0,2.0,1.0,4.0,28.0,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.3333333333333333
BF460206,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
BF460301,46.0,17.0,8.0,0.0,0.0,9.0,12.0,0.5,0.4,0.25,0.0,0.0,0.3,0.2
BF460302,12.0,5.0,1.0,0.0,0.0,1.0,5.0,0.8,0.8,0.2,0.0,0.0,0.2,0.4
BF460303,42.0,9.0,8.0,0.0,0.0,11.0,14.0,0.75,0.625,0.5,0.0,0.0,0.5,0.25
BF460304,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.375,0.125,0.25,0.0,0.0,0.0,0.125
BF460305,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,0.125,0.0,0.0,0.0,0.125,0.125
BF460306,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0
BF460307,6.0,3.0,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
BF460308,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
BF460309,33.0,9.0,3.0,0.0,2.0,3.0,16.0,0.4666666666666667,0.4,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.2
BF460311,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
BF460401,6.0,0.0,2.0,0.0,0.0,0.0,4.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693
BF460402,21.0,6.0,0.0,0.0,4.0,0.0,11.0,0.4,0.3333333333333333,0.0,0.0,0.13333333333333333,0.0,0.26666666666666666
BF460403,11.0,2.0,6.0,0.0,0.0,0.0,3.0,0.75,0.5,0.5,0.0,0.0,0.0,0.5
BF460404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460405,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333
BF460406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460407,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285
BF460501,26.0,7.0,1.0,0.0,0.0,1.0,17.0,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.38461538461538464
BF460502,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.2,0.0,0.0,0.0,0.0,0.2
BF460503,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
BF460504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
BF460505,9.0,0.0,1.0,0.0,0.0,2.0,6.0,0.5,0.0,0.125,0.0,0.0,0.25,0.5
BF460506,8.0,2.0,0.0,0.0,0.0,1.0,5.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857
BF460601,9.0,3.0,0.0,0.0,0.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
BF460602,29.0,8.0,6.0,0.0,0.0,8.0,7.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
BF460603,22.0,11.0,1.0,0.0,0.0,0.0,10.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666
BF460604,7.0,1.0,1.0,0.0,0.0,0.0,5.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444
BF460605,9.0,3.0,1.0,0.0,0.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666
BF460606,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
BF460607,51.0,9.0,7.0,0.0,0.0,22.0,13.0,0.6666666666666666,0.4166666666666667,0.25,0.0,0.0,0.5833333333333334,0.4166666666666667
BF460608,31.0,11.0,5.0,0.0,1.0,3.0,11.0,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.4444444444444444
BF470101,11.0,6.0,0.0,2.0,3.0,0.0,0.0,0.3,0.3,0.0,0.2,0.1,0.0,0.0
BF470102,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BF470103,91.0,20.0,30.0,0.0,0.0,28.0,13.0,0.5652173913043478,0.5217391304347826,0.391304347826087,0.0,0.0,0.391304347826087,0.21739130434782608
BF470104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470105,17.0,3.0,4.0,0.0,0.0,3.0,7.0,0.19230769230769232,0.07692307692307693,0.11538461538461539,0.0,0.0,0.07692307692307693,0.11538461538461539
BF470106,23.0,5.0,10.0,0.0,0.0,4.0,4.0,0.28,0.16,0.16,0.0,0.0,0.12,0.08
BF470107,17.0,10.0,4.0,0.0,0.0,2.0,1.0,0.2,0.15,0.1,0.0,0.0,0.05,0.025
BF470108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
