ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV,inhabitants_inside5km_SD
BF130001,20390.675171375275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF130002,131796.68652534485,70672.37874031067,0.5362227276231272,0.0,14512.571966171265,66354.03873968124,35135.30200147629,0.0,0.0
BF130003,44651.82880830765,14278.111783266068,0.31976544218519376,0.0,17.76204824447632,0.0,14278.111783266068,0.0,0.0
BF130004,3464448.123003125,2632857.1180278063,0.7599643650445365,862271.2623291016,1123898.3449306488,2510143.9135752916,1767437.2775708437,1181282.31142807,759505.0721054077
BF130005,26230.10280418396,2068.8059315681458,0.07887143817210472,0.0,0.0,2068.8059315681458,2068.8059315681458,0.0,0.0
BF130006,120411.8643040657,78027.6199939251,0.6480060785114055,0.0,0.0,78027.6199939251,74662.03644537926,0.0,0.0
BF130007,62347.76648759842,19721.528426647186,0.3163149145137379,19280.909430980682,0.0,19280.909430980682,440.6189956665039,0.0,0.0
BF460101,39561.28159952164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460102,18121.36532664299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460103,30411.104430675507,16758.46081519127,0.5510638672591945,16758.46081519127,16758.46081519127,0.0,0.0,0.0,0.0
BF460104,49347.46363449097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460105,33253.734045505524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460106,33772.346992492676,19108.95650243759,0.5658166578320826,1192.7922630310059,126.97627925872803,0.0,0.0,0.0,18981.980223178864
BF460107,13972.343615055084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460108,14425.614769935608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460109,21113.811511039734,3936.978982448578,0.18646462673923456,0.0,3936.978982448578,0.0,0.0,0.0,0.0
BF460110,21147.35732984543,6733.515661716461,0.318409319741025,6733.515661716461,0.0,0.0,0.0,0.0,6733.515661716461
BF460201,22960.227344036102,11264.819051742554,0.49062314945538116,4633.599616527557,6458.816838264465,0.0,0.0,0.0,11258.083723545074
BF460202,64385.94656801224,21264.954826831818,0.33027323446070944,0.0,6.8697710037231445,0.0,16838.283173561096,16838.283173561096,21264.954826831818
BF460203,11889.035991191864,1955.7013726234436,0.16449621096885808,98.89644265174866,879.998904466629,0.0,0.0,0.0,1172.382128238678
BF460204,37768.933490753174,20304.698287010193,0.5376031677458225,13298.545442581177,6779.017916679382,0.0,0.0,9143.237137317657,17334.80375289917
BF460205,159737.24788331985,71491.06347370148,0.44755412041355663,27344.999379634857,29730.29918241501,24906.254597187042,24906.254597187042,34059.59977579117,66209.54279136658
BF460206,41210.15443491936,11067.703052282333,0.26856737627035276,5022.655210733414,6069.926743030548,0.0,0.0,0.0,6069.926743030548
BF460301,67398.77967834473,47243.56821465492,0.7009558398552773,39186.772436618805,26212.67190170288,0.0,0.0,29498.121763706207,23952.207609653473
BF460302,13124.983716726303,7305.522966861725,0.5566119642153662,7305.522966861725,6260.0540153980255,0.0,0.0,16.027098178863525,6293.083018541336
BF460303,11157.023688793182,6318.027995586395,0.5662825652985412,3913.560200691223,5546.474117040634,0.0,0.0,3184.309332847595,1670.7627878189087
BF460304,60454.7646651268,24743.343152999878,0.4092868988914123,4809.902407646179,17456.86035633087,0.0,0.0,0.0,15079.704400539398
BF460305,35072.89228057861,8002.878839969635,0.2281784683152914,4851.176091194153,0.0,0.0,0.0,3151.702748775482,4589.850232601166
BF460306,34564.547753334045,13437.201383590698,0.3887567538705773,5944.029680728912,0.0,0.0,0.0,7493.171702861786,0.0
BF460307,13558.569803237915,9723.743278503418,0.7171658530076893,9578.90430355072,6183.738084316254,0.0,0.0,469.09337615966797,4026.8698439598083
BF460308,4996.522441864014,3348.868832349777,0.6702399261315918,2434.0059604644775,2073.1528508663177,0.0,0.0,0.0,633.7533757686615
BF460309,85355.05937862396,49711.001422166824,0.5824025170160714,46994.1197373867,29074.259803056717,0.0,26001.430109024048,29053.877936840057,33923.533123254776
BF460311,8565.736165046692,3324.038284301758,0.3880621840614021,3324.038284301758,0.0,0.0,0.0,3290.8519048690796,3290.8519048690796
BF460401,72176.94478654861,13072.083268404007,0.18111161821912153,0.0,13072.083268404007,0.0,0.0,0.0,7272.091790676117
BF460402,116131.39885020256,67707.43759894371,0.5830243867662291,63279.94641947746,292.95799350738525,0.0,52939.83835506439,18.055362701416016,59223.23791861534
BF460403,15388.967557668686,6429.686284303665,0.4178114132874106,5720.833457231522,5534.838246107101,0.0,0.0,22.131832122802734,4949.636332035065
BF460404,26961.055733919144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460405,46432.92694020271,7122.586097240448,0.15339515655373315,0.0,7081.895411968231,0.0,0.0,40.6906852722168,6862.717771530151
BF460406,62808.52324151993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF460407,45851.734268426895,12237.37138223648,0.2668900441277971,0.0,0.0,8937.020366191864,0.0,0.0,3300.3510160446167
BF460501,39910.59576654434,25300.4485206604,0.633928109433758,16259.708300590515,11834.517583370209,0.0,0.0,1928.5335206985474,22782.860774040222
BF460502,19732.467630386353,8161.23691034317,0.41359433919838523,3309.498544692993,0.0,0.0,0.0,0.0,4851.738365650177
BF460503,20819.460495471954,11809.487939834595,0.5672331395140163,5041.897599697113,0.0,0.0,0.0,0.0,6767.590340137482
BF460504,33616.80226564407,14053.395238399506,0.4180467590982587,1007.4564208984375,0.0,0.0,0.0,0.0,13045.938817501068
BF460505,37408.534197330475,20106.03720855713,0.5374719336100564,16.07826805114746,9100.560988903046,0.0,0.0,14336.715806007385,19921.376569271088
BF460506,39395.584577560425,13934.001873493195,0.353694507212109,6162.4347496032715,33.84735298156738,0.0,0.0,4233.9866824150085,12451.957071304321
BF460601,24093.66191291809,18636.184673786163,0.7734890919090286,18622.161529541016,8574.816926002502,0.0,0.0,10496.41331577301,16714.588284015656
BF460602,15742.324860095978,11049.159229755402,0.7018759508491071,10963.515253543854,8253.147872447968,0.0,0.0,7377.856103420258,8173.681259155273
BF460603,22917.47770881653,19242.650109767914,0.8396495615381409,16378.076713562012,3111.759479522705,0.0,0.0,541.356228351593,10404.781691074371
BF460604,35391.62552976608,22546.66832256317,0.6370622424109998,2851.553638935089,7234.086949825287,72.66379690170288,0.0,0.0,19695.114683628082
BF460605,22891.240392684937,19571.576758384705,0.8549810505086891,18791.011167526245,14271.384481430054,0.0,0.0,14271.384481430054,15296.082776069641
BF460606,22335.312602996826,15707.914078712463,0.7032771091193443,9640.08464050293,0.0,3486.1733632087708,0.0,0.0,15707.914078712463
BF460607,35194.68265295029,24938.269337654114,0.708580599619744,16639.81040763855,10886.110318660736,0.0,0.0,19241.812315940857,17201.516309261322
BF460608,73009.89495611191,48897.76514720917,0.6697416175794096,29795.068316459656,20681.04954624176,0.0,17960.13743829727,20148.276596069336,43098.38705825806
BF470101,154852.88717389107,103023.30082273483,0.6652979011430731,103023.30082273483,0.0,94780.42012310028,87929.4893321991,0.0,0.0
BF470102,12600.123265981674,8805.122794628143,0.6988124329228248,6810.765427112579,8231.889305830002,116.24136686325073,0.0,0.0,0.0
BF470103,93400.24542474747,56169.49853801727,0.6013849137395791,47325.5361866951,42377.61876869202,0.0,0.0,48090.57836294174,27842.320056915283
BF470104,17191.780763864517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470105,111487.709045887,45994.41372346878,0.412551429364631,32597.762166023254,38335.34405374527,0.0,0.0,7857.66029214859,13835.308371543884
BF470106,108847.84294891357,28542.661361694336,0.26222532838882706,17174.420886039734,18533.495732307434,0.0,0.0,15075.535133361816,10500.398270606995
BF470107,217994.22803258896,43162.37403154373,0.19799778379953797,27960.66085767746,31373.00263261795,0.0,0.0,5108.948217868805,4131.789218425751
BF470108,47797.77422094345,108.92724561691284,0.002278918786330942,53.918007373809814,108.92724561691284,0.0,0.0,0.0,0.0
BF470109,102194.747995615,21715.523589611053,0.21249158117736958,16768.052072525024,4887.40099811554,60.0705189704895,0.0,2100.254255771637,2100.254255771637
BF470201,17584.208091020584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470202,10767.49637746811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470203,12195.767762899399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470204,37132.99484682083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470205,52488.14607620239,10994.87982749939,0.2094735792637256,0.0,0.0,10994.87982749939,10994.87982749939,0.0,0.0
BF470206,14655.25881433487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470207,22786.09986448288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470208,5618.824085950851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480101,45009.76864051819,1212.9760975837708,0.026949174239741348,1212.9760975837708,0.0,0.0,0.0,0.0,0.0
BF480102,36572.1563038826,28314.31535768509,0.7742041547240999,24964.055684566498,0.0,0.0,0.0,6726.404752254486,9734.175644397736
BF480103,27580.33929491043,24432.046372413635,0.8858501018122801,0.0,0.0,24432.046372413635,24432.046372413635,0.0,0.0
BF480104,67852.98730325699,24.849594116210938,3.6622697251559533E-4,24.849594116210938,24.849594116210938,0.0,0.0,0.0,24.849594116210938
BF480105,104562.09055042267,83754.92805337906,0.8010066326379556,66783.46706151962,45321.18407535553,0.0,21427.601590156555,28928.618453979492,62066.208393096924
BF480106,26430.028366565704,527.2764203548431,0.019949899903318077,0.0,0.0,527.2764203548431,527.2764203548431,0.0,0.0
BF480107,97129.67353057861,42209.146335840225,0.434564894553587,33973.4417386055,0.0,8235.704597234726,42209.146335840225,0.0,0.0
BF480108,27092.473021507263,18.378994941711426,6.783801141786255E-4,0.0,0.0,18.378994941711426,18.378994941711426,0.0,0.0
BF480109,19469.242139339447,10876.137512683868,0.5586317862217967,0.0,0.0,10876.137512683868,10876.137512683868,0.0,0.0
BF480110,157340.90090942383,58192.65365076065,0.3698507718870907,58192.65365076065,1631.571415901184,0.0,46579.62006235123,0.0,1631.571415901184
BF480111,106682.6908018589,48418.93717122078,0.4538593543834489,12826.661370038986,8477.989109516144,0.0,27361.623171806335,0.0,801.0500869750977
BF480112,11160.74698805809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480113,17615.09431028366,9647.66124200821,0.5476928520544975,8593.39114189148,8593.39114189148,0.0,0.0,0.0,1054.2701001167297
BF480202,14762.05963754654,2395.692282676697,0.16228712940458367,2395.692282676697,2164.0297889709473,0.0,0.0,221.5943784713745,2174.0979042053223
BF480201,72443.25821733475,48744.20125722885,0.6728604214762525,45079.54492139816,0.0,12946.680932044983,12946.680932044983,23232.234246253967,31439.846574783325
BF480203,16571.60296010971,12606.334138393402,0.7607190546828032,11531.161815166473,9478.443681716919,0.0,0.0,4342.98050069809,9635.169455051422
BF480204,52429.96877670288,29397.021027088165,0.5606911793575329,23943.904720306396,18068.834901332855,0.0,18068.834901332855,3818.47275018692,13274.404248714447
BF480205,61882.339634656906,36933.10831594467,0.5968279243155904,29965.871327877045,18065.32228255272,3217.2796897888184,0.0,2380.0565078258514,21815.279580831528
BF480206,60382.982749700546,37447.57724022865,0.6201677283061073,28842.22288608551,11636.595876693726,3458.1850056648254,0.0,9325.414126634598,23145.38826441765
BF480207,57825.14623308182,29824.811555862427,0.5157758086014078,21404.616266727448,22827.65797805786,19250.344354629517,0.0,0.0,5857.093348026276
BF480208,37172.772772789,6687.895211219788,0.17991381089858924,6222.509854793549,21.750574111938477,0.0,21.750574111938477,0.0,6536.510902404785
