ADM3_PCODE,road_km
BF130001,1.69
BF130002,10.373058823529412
BF130003,17.02
BF130004,407.1947450980392
BF130005,9.41
BF130006,23.11450980392157
BF130007,13.390862745098039
BF460101,6.97
BF460102,0.0
BF460103,12.06
BF460104,0.0
BF460105,0.0
BF460106,6.43
BF460107,0.0
BF460108,1.55
BF460109,0.0
BF460110,3.61
BF460201,0.0
BF460202,8.82
BF460203,0.0
BF460204,4.22
BF460205,17.2
BF460206,0.0
BF460301,0.05
BF460302,3.61
BF460303,3.1
BF460304,3.9
BF460305,0.0
BF460306,0.0
BF460307,0.0
BF460308,1.4
BF460309,13.35
BF460311,0.0
BF460401,7.01
BF460402,23.539490196078432
BF460403,1.68
BF460404,3.24
BF460405,7.56
BF460406,7.910509803921568
BF460407,8.93
BF460501,6.23
BF460502,0.0
BF460503,0.0
BF460504,3.83
BF460505,9.39
BF460506,0.65
BF460601,0.0
BF460602,0.0
BF460603,0.0
BF460604,3.18
BF460605,0.0
BF460606,0.0
BF460607,0.0
BF460608,11.67
BF470101,36.91380392156863
BF470102,6.43
BF470103,14.23
BF470104,6.94
BF470105,24.87
BF470106,3.17
BF470107,19.51
BF470108,6.33
BF470109,6.126078431372549
BF470201,0.0
BF470202,3.88
BF470203,2.18
BF470204,0.0
BF470205,0.0
BF470206,0.0
BF470207,1.14
BF470208,4.12
BF480101,2.51
BF480102,2.12
BF480103,3.28
BF480104,0.0
BF480105,18.814
BF480106,0.0
BF480107,11.15
BF480108,1.38
BF480109,3.67
BF480110,29.05
BF480111,19.64
BF480112,0.0
BF480113,2.94
BF480202,1.99
BF480201,0.0
BF480203,2.77
BF480204,4.68
BF480205,6.740352941176471
BF480206,0.0
BF480207,19.419607843137257
BF480208,0.0
BF480301,3.48
BF480302,0.93
BF480303,6.93
BF480304,3.08
BF480305,2.59956862745098
BF480306,16.560235294117646
BF480307,23.6
BF480308,0.0
BF480309,0.0
BF490101,4.53
BF490102,2.63
BF490103,19.84
BF490104,0.63
BF490105,0.0
BF490106,0.0
BF490107,3.82
BF490108,3.48
BF490109,0.0
BF490201,2.56
BF490202,15.97
BF490203,0.0
BF490204,2.61
BF490205,0.0
BF490206,6.83
BF490207,10.13
BF490208,2.22
BF490301,2.06
BF490302,8.16556862745098
BF490303,0.0
BF490304,48.17749019607843
BF490305,6.98
BF490306,7.62
BF490307,0.0
BF490308,2.39
BF490309,2.34
BF490310,4.610666666666667
BF490311,3.4760392156862743
BF500101,0.0
BF500102,2.89
BF500103,0.0
BF500104,7.0
BF500105,47.09
BF500107,0.0
BF500106,0.0
BF500108,0.0
BF500109,3.44
BF500110,1.8
BF500111,17.62
BF500112,0.49
BF500113,0.0
BF500114,1.41
BF500115,4.931490196078432
BF500201,0.0
BF500202,3.73
BF500203,0.0
BF500204,2.23
BF500205,0.0
BF500206,9.16
BF500207,14.67
BF500208,5.94
BF500209,0.0
BF500210,4.63
BF500301,5.42
BF500302,3.97
BF500303,22.15
BF500304,0.0
BF500305,0.0
BF500306,2.09
BF500307,7.43
BF500401,0.0
BF500402,1.7483921568627447
BF500404,0.96
BF500405,4.98
BF500403,1.05
BF500406,9.98
BF510101,4.68
BF510102,0.0
BF510103,1.88
BF510104,0.0
BF510105,11.36
BF510106,4.272549019607843
BF510107,4.78
BF510201,3.74
BF510202,30.16333333333333
BF510203,6.79
BF510204,2.82
BF510205,4.94
BF510301,0.0
BF510302,4.06
BF510303,2.45
BF510304,12.73
BF510305,2.862666666666667
BF510306,11.067294117647059
BF510307,15.54
BF520101,6.38
BF520102,6.88
BF520103,0.0
BF520104,0.0
BF520105,3.88
BF520106,7.18
BF520107,0.0
BF520201,0.3
BF520202,3.0818039215686275
BF520203,35.9635294117647
BF520204,4.52
BF520205,0.0
BF520206,0.68
BF520301,0.0
BF520302,0.0
BF520303,0.0
BF520401,8.92
BF520402,5.84
BF520403,12.604588235294116
BF520501,2.176470588235294
BF520502,6.84
BF520503,11.26
BF520504,0.11
BF520505,2.5604313725490195
BF520506,3.5
BF520507,6.389529411764706
BF520508,3.31
BF530101,13.49
BF530102,151.09
BF530103,5.45
BF530104,6.23
BF530105,4.21
BF530106,0.54
BF530107,16.1
BF530108,5.91
BF530109,1.11
BF530110,0.0
BF530111,3.5826666666666664
BF530112,2.93
BF530113,9.827333333333334
BF530201,0.0
BF530202,0.0
BF530203,6.780156862745098
BF530204,0.0
BF530205,7.795058823529412
BF530206,5.241137254901961
BF530207,0.0
BF530208,0.0
BF530209,0.0
BF530210,8.958823529411767
BF530212,0.0
BF530211,2.739764705882353
BF530213,0.0
BF530301,3.51
BF530302,0.0
BF530303,1.86
BF530304,5.21
BF530305,14.5
BF530306,1.56
BF530307,8.65
BF540101,0.0
BF540102,0.0
BF540103,0.0
BF540104,3.87
BF540201,4.05
BF540202,1.14
BF540204,4.18
BF540205,0.53
BF540206,2.86
BF540207,4.42
BF540208,0.0
BF540209,2.91
BF540210,16.98
BF540301,0.0
BF540302,0.06
BF540303,0.0
BF540304,0.19
BF540305,0.0
BF540306,2.27
BF540307,27.99
BF540308,2.76
BF540309,0.0
BF540310,4.2
BF540311,0.78
BF540312,3.79
BF540313,0.23
BF540401,0.0
BF540402,0.0
BF540403,7.0
BF540404,0.0
BF540405,0.0
BF550101,0.2
BF550102,1.88
BF550103,5.08
BF550104,8.133529411764707
BF550105,2.93
BF550106,3.1564705882352944
BF550107,16.58
BF550108,0.0
BF550201,4.58
BF550202,3.87
BF550203,3.14
BF550204,1.11
BF550205,0.0
BF550301,0.0
BF550302,4.35
BF550303,6.6129411764705885
BF550304,2.88
BF550305,1.88
BF550306,13.281019607843136
BF550307,2.69
BF560101,1.44
BF560102,10.64
BF560103,3.57
BF560104,1.25
BF560105,0.0
BF560201,5.04
BF560202,22.38
BF560203,3.41
BF560204,2.15
BF560205,1.1
BF560206,1.83
BF560301,3.02
BF560302,0.33
BF560303,1.03
BF560304,10.16
BF560305,0.0
BF560306,0.0
BF560307,0.0
BF560308,2.27
BF560309,2.1
BF560401,0.0
BF560402,0.0
BF560403,3.57
BF560404,0.0
BF560405,0.02
BF560406,0.13
BF570102,18.68
BF570103,3.52
BF570101,4.23
BF570104,0.0
BF570105,5.36
BF570201,8.79
BF570202,6.44
BF570203,0.0
BF570204,0.08
BF570205,0.0
BF570206,1.7
BF570207,9.54
BF570208,2.56
BF570301,4.51
BF570302,0.28
BF570303,0.0
BF570304,0.75
BF570305,1.6
BF570401,4.140627450980393
BF570402,0.0
BF570403,0.0
BF570404,27.73
BF570405,2.53
BF570406,14.32
BF570407,6.6
BF570408,0.0
BF570409,3.729372549019608
BF570410,2.86
