ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
CI030101,0.0,213.0,104.18447852760738,110.00000000000001,40.25296684517328,0.0,136.03428649902344,33.99784392639025,26.428948174917025,27.36661998490547,16,172,60.07878527607363,54.99999999999999,30.301283658129996
CI030102,0.0,298.0,89.42724591974915,76.52452956989248,57.1565612858596,0.0,236.71954345703125,41.63619278967233,22.526349832113453,45.64803335898023,0,247,54.19123726035208,34.0,50.567634310374316
CI030103,0.0,193.0,107.1728099965684,106.0,44.98207249976313,0.0,96.90892791748047,26.81801458800127,23.820178985595703,17.5138304818232,7,146,72.276443929049,74.0,33.02762330616328
CI030104,0.0,281.0,111.08487178099007,104.71316085489313,63.98652880647969,0.0,142.89608764648438,32.32143158435547,24.46550661254214,27.69154623552738,9,207,67.52173677656869,59.99999999999999,38.62549608879827
CI030105,0.0,211.0,67.13265057573078,60.0,42.185475422156415,0.0,142.9272918701172,24.6431698974727,13.561433553695679,29.501048782153806,3,169,37.73724534986715,30.000000000000004,33.23237296860231
CI030106,0.0,199.0,81.95727521611884,78.0,43.01756672243388,0.0,133.56661987304688,24.865286130506686,18.457560969463945,22.46825689372809,57,213,108.33113056143706,106.99999999999999,27.487103969092257
CI030107,0.0,207.0,61.32797420402275,54.00000000000001,42.97921919783557,0.0,100.52281188964844,22.35537493571101,18.80561637878418,22.988136855440686,3,128,29.35417606205466,25.0,25.524127865591815
CI030108,0.0,266.0,121.8875373225899,128.4256926952141,57.83270354501967,0.0,184.2027587890625,44.858510525216126,32.34631620134626,37.9587693754432,10,212,79.10630291627466,72.0,37.75073297483112
CI030109,0.0,187.0,64.63123851662978,58.0,38.496779942962604,0.0,151.3269500732422,27.362270266644572,20.432739094325477,28.533180015834613,5,170,42.293486819903244,33.0,30.76370375881222
CI030110,0.0,195.0,77.80503144654091,79.0,41.453858618837664,0.0,132.47303771972656,29.460032927377206,24.319072344858984,27.306186910247657,14,144,51.0194935625144,49.99999999999999,28.42970065187329
CI030111,0.0,262.0,103.68816562614762,100.0,56.622526426891355,0.0,137.57125854492188,30.566885708782124,22.545240971264914,25.023266129455223,11,211,74.33715877096343,65.0,39.0516983241204
CI030201,0.0,240.0,84.31737100758698,79.0,55.43790607205831,0.0,148.7689208984375,34.614237051494335,26.557553210728603,31.931772692871522,26,228,83.47246960359388,73.0,45.435081950271346
CI030202,0.0,258.0,109.51820467567642,97.0,67.08511344896172,0.0,115.89942932128906,30.19586722894119,20.251448000178616,26.63114220312235,19,164,62.45371467253348,55.00000000000001,32.29036298188978
CI030301,0.0,139.0,60.07603630452453,59.0,29.179631501927542,0.0,82.8602523803711,17.055603032874668,13.68978569724343,13.590413486973716,38,184,104.53380520184234,104.0,31.07142750229629
CI030302,0.0,225.0,74.13605131550338,69.99999999999999,42.2303409293761,0.0,63.825531005859375,17.31853654139338,14.827858712763526,12.042606116125702,37,124,76.8381604696673,78.99999999999999,18.654584737968076
CI030401,0.0,279.0,116.79018028615332,112.66104990278679,63.6864711894799,0.0,161.82322692871094,30.075121537917646,20.529220967307282,29.413927432950835,21,197,66.72289106011138,60.00000000000001,31.644715630523287
CI030402,0.0,237.0,102.25196392672312,94.99999999999999,54.83973694051647,0.0,142.8183135986328,30.012752098478717,20.364615058898927,26.826006276237184,37,217,99.21620552402327,95.0,38.79449296500018
CI030403,0.0,261.0,108.02088541580436,106.43625644804716,51.141208771371254,0.0,104.11691284179688,26.922827518984366,22.23499055064582,18.726227540323634,33,205,105.61833827254515,106.00000000000001,27.304350295465138
CI030404,0.0,162.0,56.02058294812527,56.0,30.25001153193748,0.0,59.06230545043945,14.631161322254483,11.860495463448805,13.274963815164316,24,130,51.04568567026194,47.00000000000001,19.37964004728875
CI040101,0.0,386.0,174.78187275812027,162.6212402525065,85.45484289428548,0.0,135.79942321777344,48.04671094245138,39.5502412978428,32.54332940537429,63,251,136.49758954666075,133.0,45.69010744056019
CI040102,17.0,466.0,283.57253022280867,300.6,102.44654177776611,13.945488929748535,173.94125366210938,66.28977810749942,59.58716122857455,31.215778302914,88,248,143.864982200618,142.0,28.685772923721252
CI040103,148.0,394.0,281.16184640947097,288.0,58.89675941196404,12.452322006225586,116.02851104736328,46.4643643626787,43.264308293660484,20.28720826473788,81,209,116.78207591256034,112.99999999999999,24.82547953558195
