ADM3_PCODE,population_CIV_2020
CI030101,1824075.8563266962
CI030102,8766387.61881555
CI030103,1292979.4748990536
CI030104,1890528.21326534
CI030105,2048181.0714483943
CI030106,2069931.2639444496
CI030107,1662610.626804687
CI030108,2012830.99676492
CI030109,1563193.8204006953
CI030110,557748.1933581028
CI030111,3255731.483069523
CI030201,5508273.58276413
CI030202,1998481.8546771205
CI030301,4727757.281656229
CI030302,1680131.633011456
CI030401,5071652.472902145
CI030402,2495100.638546703
CI030403,3110942.101185417
CI030404,4877878.81004333
CI040101,2197851.096109482
CI040102,1641562.2610585913
CI040103,491996.4887155086
CI040104,487305.04106805846
CI040105,557208.484100341
CI040201,1924753.2281751256
CI040202,464109.85282483185
CI040203,319547.55332843016
CI040204,635837.6105520503
CI040205,366018.736027723
CI040206,809142.4526968906
CI040301,3312164.9207659955
CI040302,475951.01877087745
CI040303,1784569.035395614
CI040304,1896973.9676828855
CI050101,819008.5717994306
CI050102,5690415.673002972
CI050103,1930440.2598389727
CI050104,2426013.0328010274
CI050105,1694876.5988871953
CI050201,3745497.6941725514
CI050202,1512427.067058292
CI050203,2607676.8495444003
CI050204,2514449.206910365
CI050205,2719648.8310155156
CI050301,8657509.08585688
CI050302,618712.1936997431
CI050303,2589675.3635903485
CI050304,882574.0915124493
CI060101,1611912.0035218697
CI060102,2708956.2699194443
CI060103,2836170.280207804
CI060104,1266623.2268876026
CI060105,2902979.625179198
CI060201,1261245.9052655858
CI060202,1151895.6261293595
CI060301,4978218.870342271
CI060302,1450880.3962085054
CI060303,1939189.5614707004
CI060304,1170805.7308781927
CI060401,4827690.120684732
CI060402,1290099.591310086
CI060403,2530968.8636657447
CI060404,3344446.034010227
CI070101,6187019.44667854
CI070102,4990513.375074392
CI070201,5126352.166202248
CI070202,4353211.32649899
CI070301,6567564.000564255
CI070302,3639753.460225127
CI070303,3673271.9445145978
CI070304,3877941.1906952932
CI070305,4183553.592774727
CI080101,1417621.904952436
CI080102,5360736.388566958
CI080103,2556406.048776666
CI080104,155594.06517238868
CI080105,1200249.6860015315
CI080201,899472.888035517
CI080202,4850524.527117538
CI080203,795030.7240676181
CI080204,2039110.043163154
CI080301,2006005.3764820194
CI080302,564666.2173065231
CI080303,689197.6314063494
CI080304,552342.0424592681
CI080305,643026.5073399658
CI080401,1489878.5577590263
CI080402,1160480.157593275
CI080403,1436503.700936947
CI090101,6836923.056350244
CI090102,596277.144820437
CI090103,1269779.1991867397
CI090104,1216446.474275008
CI090105,1782129.8782684004
CI090201,1.1620655283249937E7
CI090202,1728402.038762264
CI090203,2624053.441391802
CI090204,2095096.3486855729
CI090301,3424744.519305065
CI090302,7640420.533379665
CI090401,1419217.002847482
CI090402,351556.51816538256
CI090403,1282533.557748399
CI090404,601154.6110680525
CI090405,972615.1520843352
CI090406,434160.2278216416
CI010101,4.308069657369594E8
CI010102,1.6541656057749322E7
CI010103,9410709.385550976
CI010104,1583820.473211386
CI010105,7476791.512746092
CI020101,1267339.2268219509
CI020102,3387578.701120627
CI020201,2.7348302170648172E7
CI020202,2820336.1363996444
CI100101,1849238.0476022344
CI100102,1374915.057382777
CI100103,2441339.6826470136
CI100201,1367090.403639254
CI100202,378978.326359084
CI100203,619963.814756565
CI100204,1087304.2816076954
CI110101,1205980.5102266078
CI110102,6887882.41749632
CI110103,2668487.8079318013
CI110104,961205.0020517922
CI110105,843020.1395491353
CI110106,576197.756227755
CI110107,1359875.9877807116
CI110201,1980860.2561239118
CI110202,2538727.293238362
CI110203,1148116.0986853715
CI110204,2191134.2303119027
CI110301,5.616185857434029E7
CI110302,932257.8223602294
CI110303,1520538.222050056
CI110304,2847807.344768398
CI110305,1433596.7231437657
CI110401,5242500.963653936
CI110402,1629582.9184134419
CI110403,1490296.328424543
CI110404,421466.331859798
CI120101,3194664.3775664433
CI120102,3556674.7372754742
CI120103,2084515.124272641
CI120201,7807657.500672941
CI120202,5122353.8659460535
CI120203,4281638.715049443
CI120204,7423071.116235036
CI120205,1881017.5198852746
CI120206,6482942.027648382
CI130101,5580165.166191742
CI130102,1908632.9303314525
CI130103,3402269.1234378302
CI130104,4858300.761139235
CI130105,2276151.9380006017
CI130106,2.245675386271957E7
CI130107,3472584.3265251964
CI130108,1106868.3996878087
CI130109,6675866.944162367
CI130110,3847139.9526529163
CI130111,4451031.997188492
CI130112,2984979.7477083257
CI130201,1.2998348121274306E7
CI130202,7543435.078484739
CI130203,3382646.7516349587
CI130204,3758244.362196635
CI140101,650761.3044517669
CI140102,1941267.8213149488
CI140103,1.1261084296286898E7
CI140104,1573822.7477106797
CI140105,5454765.268745592
CI140106,467794.8391460344
CI140107,771140.3622225891
CI140108,2662883.0036974763
CI140109,1637078.926661942
CI140110,3321335.0399341295
CI140111,1795723.5038268147
CI140112,568497.0866285813
CI140201,2865586.8365669274
CI140202,821196.8232533655
CI140203,897993.8951295057
CI140204,2299157.1914067627
CI140205,2303438.4012383274
CI140206,1188132.1806317985
CI140301,2027122.6277919544
CI140302,804873.0164958928
CI140303,646200.1152028658
CI140304,1479673.1667126215
CI140401,4804473.075871018
CI140402,501498.63623582444
CI140403,904592.9726227629
CI140404,1006373.0046043018
CI140501,3427133.7725945935
CI140502,2878378.609976708
CI140503,1589943.057550273
CI150101,7724194.289770002
CI150102,2672792.2226508646
CI150103,2645947.5050656763
CI150201,3646410.5249976814
CI150202,2216077.797975378
CI150203,2575202.6015926334
CI150204,7094117.273621032
CI150205,248662.6031241098
CI150301,2779416.2838003696
CI150302,1975004.0282728302
CI160101,4801276.290605672
CI160102,2622783.2933952943
CI160103,2854275.0906450055
CI160104,3590022.239147338
CI160105,2091331.243903013
CI160106,4277602.982903457
CI160107,7273944.556574618
CI160108,1104286.1919044496
CI160109,8794686.247156974
CI160201,5162046.743384723
CI160202,2.068603829642991E7
CI160203,7436870.497375536
CI160204,5838218.766575448
CI160205,6525898.934424844
CI160301,2110317.4472029274
CI160302,897535.8682069294
CI160303,840889.6657650103
CI160304,2804850.1450697714
CI160305,825086.683477543
CI160401,3807937.0702191666
CI160402,929388.75940142
CI160403,4322085.007379595
CI160404,1191446.8905337986
CI170101,1750216.5455873322
CI170102,3109043.508898572
CI170103,5954507.3849403085
CI170104,2023939.8958458856
CI170105,1055974.667356564
CI170106,1966531.6216908055
CI170107,1234725.7982963347
CI170108,1752625.0281233226
CI170109,950510.7614971802
CI170110,478671.63921272854
CI170201,5512097.328340305
CI170202,3791950.860841977
CI170203,1120064.964240586
CI170301,4956053.576254437
CI170302,733113.543401425
CI170303,2131856.130847466
CI170304,957568.9528472519
CI170305,2331094.049504998
CI170306,2181880.7909858744
CI180101,7803086.617513181
CI180102,3.035317089836103E7
CI180103,5472423.536069531
CI180104,5627521.577211541
CI180105,3495219.2763595264
CI180106,3638473.6413409337
CI180201,7873626.591983165
CI180202,1992335.4362224424
CI180203,3907361.8380211536
CI180204,2471304.078451208
CI180205,3834328.162645218
CI180206,8036638.341099952
CI180207,2364755.5963179674
CI180301,1.303196854094531E7
CI180302,3807028.7239728672
CI180303,3065912.586185609
CI180304,7522412.321116225
CI180305,2431652.0782804787
CI180306,9067788.375104608
CI180401,4340535.728469892
CI180402,926992.3919868148
CI180403,1731811.4790821879
CI180404,3382727.9328677566
CI190101,607505.347934861
CI190102,1179747.6669180328
CI190103,7117059.908865353
CI190104,1626001.6187550358
CI190105,1289400.4367415186
CI190106,2707487.865996794
CI190107,997403.1578707392
CI190201,4951537.189971558
CI190202,1837239.5923631177
CI190203,1112105.6417270855
CI190301,3292351.2573947217
CI190302,579635.154918113
CI190303,1127095.7546632339
CI190304,1179825.8932212843
CI190305,1055584.9805491634
CI200101,1.2960993317652212E7
CI200102,2378604.63199854
CI200103,3846494.6534946333
CI200104,1864828.3747388057
CI200105,4260448.652602127
CI200106,3578440.368624407
CI200107,3216135.8172178133
CI200201,7014490.988937398
CI200202,2860006.201638011
CI200203,1559504.2053525434
CI200204,4303779.7211250905
CI200205,1251724.8231295852
CI200301,2491824.29901871
CI200302,3046803.7084254404
CI210101,355754.50621460873
CI210102,1688432.478478274
CI210103,655563.6842994093
CI210201,2434039.6937160064
CI210202,578634.5088663106
CI210203,846304.2647884699
CI210301,4414530.699910181
CI210302,1507449.8496783904
CI210303,558496.5248429081
CI210304,709811.7797025606
CI210305,800754.6533796963
CI210401,1194134.36608703
CI210402,1135755.8375999162
CI210501,1679413.8964247142
CI210502,1122453.086907088
CI220101,3202695.800102122
CI220102,2234696.85397708
CI220103,1.8359480748384133E7
CI220104,5150436.40910932
CI220105,1950568.7808207266
CI220106,5522776.277185691
