ADM3_PCODE,road_km
CI030101,6.439803921568628
CI030102,28.359372549019607
CI030103,0.42074509803921567
CI030104,6.940117647058823
CI030105,1.01
CI030106,0.0
CI030107,5.64
CI030108,0.0
CI030109,2.89
CI030110,1.82
CI030111,0.0
CI030201,15.95
CI030202,4.58
CI030301,0.83
CI030302,2.4
CI030401,5.03
CI030402,2.29
CI030403,0.12
CI030404,11.26
CI040101,0.42
CI040102,0.17
CI040103,2.55
CI040104,0.0
CI040105,3.55
CI040201,0.0
CI040202,0.0
CI040203,0.0
CI040204,0.0
CI040205,0.0
CI040206,0.0
CI040301,3.79
CI040302,0.0
CI040303,6.76
CI040304,0.0
CI050101,0.0
CI050102,25.66
CI050103,5.49
CI050104,6.93
CI050105,2.26
CI050201,16.04
CI050202,1.74
CI050203,4.79
CI050204,5.14
CI050205,6.6
CI050301,13.14
CI050302,0.0
CI050303,0.0
CI050304,0.0
CI060101,0.0
CI060102,6.04
CI060103,7.11
CI060104,2.04
CI060105,5.73
CI060201,0.0
CI060202,0.28
CI060301,15.45
CI060302,5.01
CI060303,0.0
CI060304,0.0
CI060401,14.603686274509805
CI060402,0.0
CI060403,2.56
CI060404,1.86
CI070101,12.08
CI070102,18.74
CI070201,22.788392156862745
CI070202,10.890156862745098
CI070301,28.87976470588235
CI070302,3.08
CI070303,0.0
CI070304,7.69
CI070305,17.004117647058827
CI080101,3.35
CI080102,11.331803921568628
CI080103,0.0
CI080104,0.7914901960784314
CI080105,0.0
CI080201,0.0
CI080202,13.68
CI080203,0.0
CI080204,2.12
CI080301,8.38
CI080302,5.05
CI080303,2.38
CI080304,2.0164705882352942
CI080305,2.61
CI080401,3.32
CI080402,0.0
CI080403,0.31
CI090101,11.292862745098038
CI090102,0.0
CI090103,2.33
CI090104,0.0
CI090105,4.925098039215686
CI090201,20.6
CI090202,6.401960784313726
CI090203,4.28
CI090204,0.0
CI090301,13.207529411764707
CI090302,14.3
CI090401,6.76
CI090402,0.0
