ADM3_PCODE,volume_batis_m3
CI030101,9207217.20784314
CI030102,4.1082592384313725E7
CI030103,4871940.9647058835
CI030104,6201708.07843137
CI030105,1.0031918835294118E7
CI030106,4978615.74117647
CI030107,4490602.043137256
CI030108,3476198.905882353
CI030109,4033690.721568628
CI030110,1190619.8745098037
CI030111,6401888.776470588
CI030201,1.8426564623529408E7
CI030202,5104117.701960783
CI030301,1.139276174901961E7
CI030302,3301573.807843136
CI030401,1.6244426011764707E7
CI030402,4731379.909803921
CI030403,8731131.305882353
CI030404,1.3791650686274508E7
CI040101,5681001.164705882
CI040102,2498271.854901962
CI040103,991495.8470588236
CI040104,691104.3843137255
CI040105,1135434.0196078431
CI040201,4108225.760784313
CI040202,624806.8705882352
CI040203,491900.41176470584
CI040204,946533.4392156863
CI040205,516197.7019607843
CI040206,1321043.7960784314
CI040301,1.1643640443137256E7
CI040302,621337.8509803922
CI040303,2521090.282352941
CI040304,4654570.529411765
CI050101,3074215.819607843
CI050102,2.537662414117647E7
CI050103,5036199.0980392145
CI050104,7975431.011764706
CI050105,5498444.447058824
CI050201,1.3347623E7
CI050202,2941351.9137254907
CI050203,1.0866178741176471E7
CI050204,7046144.862745099
CI050205,6453153.658823529
CI050301,1.933493163137255E7
CI050302,1014182.8392156863
CI050303,8125127.290196078
CI050304,2113172.0705882353
CI060101,2387681.364705882
CI060102,5457599.403921569
CI060103,3447707.552941177
CI060104,1930303.9607843137
CI060105,3309756.4745098036
CI060201,2228943.133333333
CI060202,3461236.850980392
CI060301,1.3007638992156865E7
CI060302,2409878.97254902
CI060303,3583921.9647058826
CI060304,2203981.2862745095
CI060401,2.1351401874509804E7
CI060402,2081913.1647058825
CI060403,6315030.870588236
CI060404,5293546.564705882
CI070101,1.3890439509803921E7
CI070102,1.4609415788235296E7
CI070201,9644215.466666663
CI070202,5490045.8588235285
CI070301,1.764461986274509E7
CI070302,6465533.529411763
CI070303,9143677.580392156
CI070304,9241199.176470589
CI070305,9409950.137254901
CI080101,3448371.3490196075
CI080102,2.042942558431372E7
CI080103,5806258.980392157
CI080104,282910.63921568636
CI080105,6198702.282352942
CI080201,1908176.8352941177
CI080202,1.4050002858823532E7
CI080203,2910459.411764706
CI080204,4426559.03137255
CI080301,5673904.705882354
CI080302,2675345.9450980397
CI080303,1741065.0
CI080304,1771131.4666666668
CI080305,1617663.2117647058
CI080401,5228280.498039216
CI080402,3301679.760784314
CI080403,5787015.552941175
CI090101,2.1851933749019608E7
CI090102,2240459.670588236
CI090103,3604495.1686274516
CI090104,1541715.2862745095
CI090105,6396262.133333332
CI090201,3.4306238168627456E7
CI090202,6580719.458823529
CI090203,7620368.999999999
CI090204,2311806.0980392154
CI090301,8638088.933333334
CI090302,1.235239930980392E7
CI090401,4340925.415686274
CI090402,1260389.937254902
CI090403,2779023.317647059
CI090404,1010160.4039215686
CI090405,1955821.5686274508
CI090406,888899.7921568627
CI010101,1.1546498314196064E9
CI010102,9.977110876470585E7
CI010103,7.800314647843136E7
CI010104,3390820.0627450985
CI010105,2.641112406666665E7
CI020101,4066445.654901961
CI020102,7235910.258823529
CI020201,8.305321758823527E7
CI020202,6305926.752941178
CI100101,3979552.180392156
CI100102,3385104.3647058816
CI100103,6870743.043137253
CI100201,3560596.4666666663
CI100202,1133260.1254901963
CI100203,1434380.949019608
CI100204,2586239.9098039214
CI110101,3510177.156862745
CI110102,1.904551106666667E7
CI110103,4723454.439215686
CI110104,2361737.6117647057
CI110105,2009232.9607843142
CI110106,1103199.7529411763
