ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
NE001001001,0.0,3749.0,1267.0007146316657,935.6215189635398,963.1061126878294,0.0,2558.52685546875,648.2335013254718,423.88178485909356,596.4970955848918,11,3627,1125.326988991429,839.2819406486988,867.6234904168703
NE001002001,0.0,376.0,163.46937511850572,162.5,84.97645289651167,0.0,219.92276000976562,46.627163593612075,37.54589508499665,40.42574960418557,156,407,236.86227543136133,230.0,50.5573489805965
NE001002002,0.0,1309.0,437.95317590159976,363.6451277561964,280.29800594399245,0.0,909.9217529296875,230.6811413948181,182.0231801975527,180.70676897679087,100,1524,609.4848667623933,603.3922459077506,313.57782591646867
NE001002003,0.0,1879.0,837.1268349197787,827.3090419750531,451.1675309787541,0.0,1153.3134765625,456.10806013677256,444.0452504833422,275.593204740798,187,2579,1148.643579142424,1063.3870018721582,602.7456652979552
NE001003001,0.0,5345.0,2458.600910265098,2255.65400580656,1546.9046275440394,0.0,4123.91015625,1975.8715060482361,2127.7376635183523,1216.4705230048571,940,5097,3165.289671732924,3279.2033153669086,1188.3697688887482
NE001003002,0.0,4111.0,1834.9341959985543,1839.5320981990055,931.5941616309742,0.0,2745.824951171875,928.438664139616,824.0404358278608,592.8533249003757,854,3903,1969.1820945300578,1879.557442777148,632.8745537801191
NE001003003,0.0,5564.0,2585.3467758589654,2543.5276022561848,1274.2953238452344,0.0,2456.4921875,915.3914481813127,856.1026250927033,524.7859094948249,382,3597,1683.9750734666407,1607.5345711187092,646.8065144560145
NE001003004,0.0,3882.0,1675.5499194350232,1527.6816583499235,871.9320282616314,0.0,2780.282958984375,919.0557719902563,711.8951295907636,655.6016281816584,1178,3975,2384.7365427868453,2327.5841007246904,641.723187997489
NE001004001,0.0,4805.0,2536.8123006478304,2767.65670557262,1273.3843438901722,0.0,3781.263427734375,1218.9391534320898,984.0130807982326,854.3154252075966,396,4212,2348.0275270317707,2343.44271607314,768.479484457881
NE001004002,0.0,2941.0,1376.7728670394372,1527.6912630023146,762.8347780866081,0.0,1085.6075439453125,362.7850801738121,340.0975451537363,216.11525908392355,355,2709,1371.8924645705677,1399.8242875583358,557.547082732469
NE001005001,0.0,3362.0,875.4905476896994,599.5734076009126,736.2442975284797,0.0,1829.2579345703125,292.3352060488986,179.88891629059157,310.6723175093741,42,3940,948.0519523627045,663.5606008678053,821.6398054060071
NE001006001,0.0,209.0,78.48353448746656,70.99999999999999,52.223171122335174,0.0,100.95893096923828,17.247978882152424,13.862005551656088,18.361716538014537,0,125,26.203693590373735,19.0,24.09348839218093
