ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
NE001001001,0.0,0.19169847667217255,0.0279221671360668,0.0,0.05785522615422281,0.0,0.0011114109074696898,8.312207078407189E-5,0.0,1.8225668158688334E-4
NE001002001,0.0,0.11117317527532578,0.054995673089554366,0.08355667442083359,0.048113022677581864,0.0,4.5832147588953376E-4,1.557148319660936E-4,0.0,1.7711555788081445E-4
NE001002002,0.0,0.10941917449235916,0.059338330548071555,0.08378056753688083,0.04172385624240815,0.0,4.3864440522156656E-4,1.955499501666217E-4,2.660338546495276E-4,1.536786284548289E-4
NE001002003,0.0,0.11331520229578018,0.02138782854347882,0.0,0.037530892082419595,0.0,4.3864440522156656E-4,5.455941025678054E-5,0.0,1.0293850886602176E-4
NE001003001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001003002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001003003,0.0,0.07209102809429169,1.0829765082316215E-5,0.0,8.757789767884117E-4,0.0,0.0,0.0,0.0,0.0
NE001003004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001004001,0.0,0.12242229282855988,0.010533555940924965,0.0,0.028211223005348802,0.0,3.433966194279492E-4,2.1540214026742357E-5,0.0,6.373839910061344E-5
NE001004002,0.0,0.11214961856603622,0.03213149343786561,0.0,0.041228605910201846,0.0,3.562474448699504E-4,8.533220887391719E-5,0.0,1.1411105326613542E-4
NE001005001,0.0,0.18208764493465424,0.05892949471812589,0.08449017798920197,0.05328091803194336,0.0,0.0012777001829817891,1.933156755570323E-4,2.4017078546750836E-4,1.9332984400409752E-4
NE001006001,0.10191861540079117,0.1333189159631729,0.12074970533756631,0.12384814769029617,0.0076978413828850244,0.0,4.2974078678525984E-4,3.299515579426321E-4,3.6812431062571704E-4,8.608893494182721E-5
NE001006002,0.07166110724210739,0.13050320744514465,0.10074128856087065,0.10056190937757492,0.015596259795405605,0.0,4.744221514556557E-4,3.4262409301524875E-4,3.4542623325251043E-4,6.330066538933394E-5
NE001006003,0.0,0.13641825318336487,0.04295883554699585,0.0,0.04941321949666032,0.0,4.591435717884451E-4,1.2231056249674077E-4,0.0,1.4604196174114158E-4
NE001006004,0.0,0.13724979758262634,0.09261290073500808,0.10207686351949605,0.039204271767633754,0.0,4.7892623115330935E-4,3.1561698450333515E-4,3.5542259653476206E-4,1.3103285671694636E-4
NE002001001,0.1184317097067833,0.20606371760368347,0.16095219436407768,0.16415537893772125,0.017961624104312384,3.898344293702394E-4,0.0014566484605893493,8.07569426651749E-4,7.99763037135193E-4,2.4242221685788905E-4
NE002001002,0.14099445939064026,0.17170864343643188,0.16382728851081538,0.16641643643379211,0.008921988702962291,4.057636542711407E-4,0.001271242625080049,7.822943210286156E-4,7.146544521674514E-4,3.157605544201843E-4
NE002002001,0.14155252277851105,0.2856006622314453,0.20624477932417776,0.2003766394430591,0.03955114515175103,3.8349672104232013E-4,0.0016101457877084613,6.83797705124229E-4,5.761438886402175E-4,2.450872235723377E-4
NE002002002,0.17471614480018616,0.2567182183265686,0.2016007730632956,0.205814927816391,0.019980926734977856,2.8186338022351265E-4,0.0016101457877084613,7.289887816687697E-4,6.644330569542944E-4,3.215608577717469E-4
NE002002003,0.13945068418979645,0.20809979736804962,0.17463824293274577,0.17359782755374908,0.015227518791243311,3.9361658855341375E-4,0.0012744689593091607,6.122474546424682E-4,5.103262180152038E-4,2.1210638847592349E-4
NE002003001,0.0,0.15170979499816895,0.12243218058556746,0.1226379402671192,0.017304569742349576,0.0,0.0010960535146296024,5.376214903963503E-4,5.070869541201536E-4,1.7413474338532774E-4
NE002004001,0.12452404946088791,0.1762959510087967,0.15211683641113327,0.15206009149551392,0.012680807244049339,3.710902819875628E-4,0.0013454750878736377,6.768597065215916E-4,6.000997964292765E-4,2.620221486946981E-4
NE002004002,0.0,0.27372536063194275,0.17628715103690187,0.16724486337007946,0.042819110720457,0.0,0.0015730428276583552,7.309106184743462E-4,5.748554148540891E-4,3.011111358111344E-4
NE002004003,0.0,0.1673053801059723,0.13120933935301649,0.13529599606990814,0.027684449536669306,0.0,0.0011465256102383137,4.417176746051893E-4,4.2227100794147896E-4,1.9235375945392272E-4
NE002005001,0.0,0.13730108737945557,0.0022521455119891964,0.0,0.017804373186655002,0.0,5.593262612819672E-4,4.866460255269883E-6,0.0,4.4486402220988274E-5
NE002006001,0.0,0.17942063510417938,0.1129561449728789,0.12712957262992858,0.050252102030889215,0.0,0.0010441564954817295,3.359323346296197E-4,3.547811498245944E-4,1.8646238040117346E-4
NE002006002,0.0,0.16238386929035187,0.1079609731000818,0.11241194087526074,0.04028453082379231,0.0,0.001033224631100893,5.212585038298677E-4,5.285691603961768E-4,2.7213198563551526E-4
