ADM3_PCODE,primary_school_age_girl_NER_2020,secondary_school_age_girl_NER_2020
NE001001001,4239.355362383784,3980.743336900468
NE001002001,1284.1244903086451,1482.0549981873414
NE001002002,3469.449959495575,3966.69508155298
NE001002003,4329.191104194924,4866.001581670747
NE001003001,252.54766065258303,254.49228487429124
NE001003002,231.48753391082371,233.27187641717825
NE001003003,755.0268665120927,760.8236083001315
NE001003004,164.67939664401206,165.9462513106172
NE001004001,2108.5050985009375,2113.522197956837
NE001004002,791.1712841849082,793.0552458701356
NE001005001,5960.506533501419,6145.98699808526
NE001006001,3621.9037292606704,3627.4026850116015
NE001006002,3732.972130940006,3738.7229794961586
NE001006003,4554.830068242196,4561.676437637137
NE001006004,11353.52387977611,11371.577186141185
NE002001001,8753.55230054271,7013.665726157264
NE002001002,237.5403033410802,190.2733185057546
NE002002001,5786.140346933113,4856.02251707409
NE002002002,4101.335302188116,3431.206058076784
NE002002003,5443.548080265173,4553.024012781239
NE002003001,9528.896355493163,8484.13638665688
NE002004001,718.1008161575187,619.8036993763026
NE002004002,11271.570637084456,9730.203015277311
NE002004003,2181.1216641136252,1881.8766678335335
NE002005001,7272.380301344198,7318.703866734184
NE002006001,4900.65108161364,4184.926028989758
NE002006002,6499.248697619105,5564.9103164749995
NE003001001,6051.785209549174,5969.8109655394255
NE003001002,3376.4185368963313,3341.011175458105
NE003001003,2554.568402653582,2546.6418278614674
NE003001004,2536.868948124905,2537.9419665215055
NE003001005,1830.5765612134755,1794.0483143348322
NE003001006,2022.7712713681017,1992.5397480553263
NE003001007,2814.521856817079,2781.7219120245354
NE003001008,2598.8420890275174,2576.1641544304644
NE003002001,4674.884183888339,3917.2592573399625
NE003002002,4757.105726426257,3997.7335401521013
NE003002003,1198.8156189909166,1004.321423436146
NE003003001,8024.655073502485,7903.477566591898
NE003003002,6183.934530691541,6072.870381007943
NE003003003,5382.896682732017,5295.61641738368
NE003003004,2614.1828613529033,2568.5572032867694
NE003003005,10159.415523401198,9985.066699926994
NE003003006,2935.1099709779614,2890.4208398790915
NE003004001,9793.365071260228,8771.341225396418
NE003004002,5207.089630475235,4630.193631428363
NE003004003,2948.407680871439,2649.641725475181
NE003004004,4245.0823919880595,3810.7568398241897
NE003004005,2728.6621010083777,2443.9022021901364
NE003004006,4124.5462169413495,3692.541958735504
NE003004007,4555.140389677588,4080.272798862177
NE003004008,4526.7592902828665,4054.7372718109805
NE003004009,2107.1270241078223,1887.1173614660897
NE003004010,2087.22511148219,1869.4639531107516
NE003004011,4231.457566666135,3795.139255647097
NE003005001,6547.495901338728,6359.906181289638
NE003005002,3065.784320585868,2983.8333626429235
NE003006001,1905.4445408199347,1691.6798073534878
NE003006002,1924.814465563905,1708.9500033481445
NE003006003,6912.084989972207,6136.885149670584
NE003006004,3350.2795540547845,2976.234504954953
NE003006005,3792.4927761414465,3364.5790224655
NE003006006,7293.411913638488,6474.158353993008
NE003007001,5125.750392854453,4615.202427140873
NE003007002,7111.908415655997,6442.348459631788
NE003007003,3406.8439886415695,3067.2232664711346
NE003008001,3718.8699825399062,3289.693592888701
NE003008002,7640.142069961509,6757.888634216549
NE003008003,6015.027858393338,5325.787074480802
NE003008004,7018.656702484804,6208.603730450424
NE004001001,14847.592601541437,13375.508080485284
NE004001002,7915.660871095284,7121.526740910024
NE004002001,2198.4481468060435,1945.0941898383348
NE004002002,8304.991782002762,7949.85244030185
