ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
NE001001001,10.0,2.0,2.0,1.0,2.0,0.0,3.0,0.032520325203252036,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.008130081300813009,0.0,0.016260162601626018
NE001002001,37.0,5.0,2.0,1.0,0.0,0.0,29.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111
NE001002002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025
NE001002003,16.0,5.0,2.0,1.0,0.0,0.0,8.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.0,0.014492753623188406
NE001003001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
NE001003002,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.125
NE001003003,23.0,7.0,5.0,0.0,0.0,0.0,11.0,0.04878048780487805,0.024390243902439025,0.036585365853658534,0.0,0.0,0.0,0.036585365853658534
NE001003004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001004001,10.0,2.0,4.0,1.0,0.0,1.0,2.0,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.0,0.0,0.008403361344537815
NE001004002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0196078431372549
NE001005001,13.0,4.0,2.0,0.0,0.0,0.0,7.0,0.04072398190045249,0.01809954751131222,0.004524886877828055,0.0,0.0,0.0,0.02262443438914027
NE001006001,41.0,7.0,1.0,3.0,4.0,1.0,25.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NE001006002,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.02857142857142857
NE001006003,7.0,2.0,1.0,0.0,0.0,0.0,4.0,0.039473684210526314,0.013157894736842105,0.0,0.0,0.0,0.0,0.02631578947368421
NE001006004,12.0,4.0,1.0,0.0,0.0,0.0,7.0,0.04819277108433735,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0,0.03614457831325301
NE002001001,75.0,40.0,17.0,0.0,0.0,13.0,5.0,0.8125,0.5,0.625,0.0,0.0,0.25,0.1875
NE002001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE002002001,64.0,39.0,9.0,2.0,0.0,6.0,8.0,0.44,0.36,0.16,0.08,0.0,0.08,0.2
NE002002002,47.0,17.0,10.0,4.0,2.0,5.0,9.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25
NE002002003,127.0,88.0,18.0,1.0,0.0,3.0,17.0,0.6363636363636364,0.5909090909090909,0.22727272727272727,0.045454545454545456,0.0,0.13636363636363635,0.36363636363636365
NE002003001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE002004001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE002004002,11.0,3.0,5.0,0.0,0.0,1.0,2.0,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.0,0.0,0.027777777777777776,0.05555555555555555
NE002004003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
NE002005001,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00796812749003984,0.00398406374501992,0.0,0.0,0.00398406374501992,0.0,0.0
NE002006001,13.0,11.0,1.0,0.0,0.0,0.0,1.0,0.046153846153846156,0.046153846153846156,0.0,0.0,0.0,0.0,0.015384615384615385
NE002006002,102.0,61.0,16.0,2.0,0.0,4.0,19.0,0.68,0.4,0.4,0.04,0.0,0.12,0.32
NE003001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
