ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV,inhabitants_inside5km_SD
NE001001001,59406.19478702545,22263.556232452393,0.37476825964478105,21803.570608139038,459.9856243133545,18217.151746749878,18217.151746749878,0.0,3760.02215385437
NE001002001,105022.84318065643,73842.14285850525,0.7031055399203459,73842.14285850525,73842.14285850525,73842.14285850525,0.0,0.0,73842.14285850525
NE001002002,13558.679075717926,81.4352126121521,0.00600613172989642,0.0,0.0,0.0,0.0,0.0,81.4352126121521
NE001002003,13033.17241859436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001003001,5412.943489313126,4839.107663631439,0.8939882105152915,0.0,4839.107663631439,0.0,0.0,0.0,0.0
NE001003002,8640.756731033325,4500.586067199707,0.5208555462550899,0.0,3690.993088722229,0.0,0.0,0.0,4500.586067199707
NE001003003,2875.711846113205,1391.8893821239471,0.48401559565337415,1245.5692961215973,1114.4213933944702,0.0,0.0,0.0,1329.3488247394562
NE001003004,1825.852233171463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE001004001,27224.29105567932,4087.181160926819,0.15012993919906623,4087.181160926819,4087.181160926819,4087.181160926819,0.0,0.0,4087.181160926819
NE001004002,25718.456739902496,2426.8635988235474,0.09436272259129139,0.0,0.0,0.0,0.0,0.0,2426.8635988235474
NE001005001,76636.12368679047,29847.623556613922,0.3894719894576122,16573.880629062653,1562.1297678947449,1457.931252002716,0.0,0.0,17892.484364032745
NE001006001,131360.42797899246,120860.13692951202,0.9200650362439465,120860.13692951202,120860.13692951202,120860.13692951202,120860.13692951202,120860.13692951202,120860.13692951202
NE001006002,36492.09863138199,6103.924918651581,0.1672670289617821,0.0,0.0,0.0,0.0,0.0,6103.924918651581
NE001006003,85106.46623802185,7708.904662132263,0.09057954116638274,121.68795537948608,0.0,0.0,0.0,0.0,7587.216706752777
NE001006004,79061.21561717987,18860.380604743958,0.23855414386830687,14366.482869148254,13221.518410682678,0.0,0.0,0.0,17715.41614627838
NE002001001,114620.90428733826,110813.94166755676,0.966786489397798,105056.69020557404,95510.54593467712,0.0,0.0,52210.78050994873,47028.24629354477
NE002001002,14762.483777999878,13324.82986831665,0.9026143614243476,13159.658403396606,13159.658403396606,0.0,0.0,13324.82986831665,0.0
NE002002001,98646.69592142105,76412.8584446907,0.7746114325568375,66785.65020465851,48400.319457530975,16739.191858768463,0.0,29701.25824213028,33046.3762550354
NE002002002,55451.96649599075,54552.13986635208,0.9837728634979297,54552.13986635208,52534.62647628784,50077.57070541382,46425.43187046051,48438.67666101456,50514.49365711212
NE002002003,57815.72592353821,56031.04774808884,0.9691316134677679,55826.329818725586,46420.91392946243,12515.845458507538,0.0,16847.503659248352,39416.28214406967
NE002003001,132346.26212882996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE002004001,19188.595829486847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE002004002,141349.60374641418,43883.94558286667,0.31046387410887905,36589.296744823456,34620.40442609787,0.0,0.0,20900.203464508057,23659.211604118347
NE002004003,32511.16091489792,1925.969630241394,0.05924026014582695,0.0,1925.969630241394,0.0,0.0,0.0,0.0
NE002005001,100023.22781038284,2405.9675464630127,0.024054088226627524,1701.5980854034424,192.73408222198486,0.0,511.63537883758545,0.0,143.20850658416748
NE002006001,60442.0744843483,26464.284864902496,0.4378454096865177,25303.80232858658,480.2498769760132,0.0,0.0,0.0,23375.77304124832
NE002006002,83963.05455493927,75510.87650585175,0.8993345573968246,71528.35190868378,55277.05872917175,34423.22100162506,0.0,36365.221994400024,62055.57837104797
NE003001001,69030.97723340988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001002,47387.333671569824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001003,19288.141705513,4360.402112960815,0.22606647024552454,0.0,0.0,4360.402112960815,0.0,0.0,0.0
NE003001004,29420.991144657135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001005,33938.76219415665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001006,34715.43605661392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003001007,63716.911819934845,10176.120798587799,0.1597083177437366,0.0,0.0,10176.120798587799,0.0,0.0,0.0
NE003001008,31560.518884181976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003002001,74660.55844211578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003002002,52853.435088157654,10.606575965881348,2.0067902773376897E-4,0.0,10.606575965881348,0.0,0.0,0.0,0.0
NE003002003,14256.318371772766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003003001,106254.46237277985,18375.202582359314,0.17293582003071387,18375.202582359314,0.0,0.0,0.0,0.0,4522.50447845459
NE003003002,98488.30783462524,907.5033731460571,0.009214325975321598,0.0,0.0,0.0,0.0,0.0,907.5033731460571
NE003003003,81972.8667755127,28800.275047302246,0.35133912208015633,13482.19138431549,6271.47821521759,0.0,0.0,0.0,14110.193294525146
NE003003004,49751.60998058319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003003005,95451.81441354752,2807.7954330444336,0.02941584138861505,0.0,0.0,0.0,0.0,0.0,2807.7954330444336
NE003003006,43629.61085176468,18278.404848575592,0.4189449433935597,0.0,0.0,0.0,0.0,0.0,18278.404848575592
NE003004001,134272.46043109894,88614.79148674011,0.6599625209982074,0.0,0.0,88614.79148674011,88614.79148674011,0.0,88614.79148674011
NE003004002,56881.48850440979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004003,39170.26493549347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004004,35387.771674633026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004005,39032.250438690186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004006,52665.62714099884,7635.512590408325,0.1449809487688465,7635.512590408325,0.0,0.0,0.0,0.0,0.0
NE003004007,68811.33995914459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004008,64605.68109321594,14609.100657463074,0.22612718278419533,12407.295621871948,2474.7210817337036,0.0,0.0,0.0,2474.7210817337036
NE003004009,31701.724348068237,42.774901390075684,0.0013492925785496648,42.774901390075684,0.0,0.0,0.0,0.0,0.0
NE003004010,37232.2938785553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003004011,71609.34991168976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003005001,84258.40654230118,3829.6672434806824,0.045451455832576565,3319.588089466095,400.09249210357666,0.0,0.0,0.0,3429.5747513771057
NE003005002,49222.15380239487,390.25234365463257,0.007928388205467863,390.25234365463257,390.25234365463257,0.0,0.0,0.0,0.0
NE003006001,24942.737139701843,14763.940039634705,0.5919133877305972,14004.48368358612,0.0,0.0,0.0,0.0,14065.530047416687
NE003006002,22703.508209228516,1073.4200983047485,0.04727992204607502,106.13544845581055,0.0,0.0,0.0,0.0,1073.4200983047485
NE003006003,85271.526014328,68351.81119441986,0.8015783742739029,709.7214727401733,0.0,2989.1295042037964,0.0,0.0,67457.11592006683
NE003006004,65906.44258117676,20003.642367362976,0.303515735092583,20003.642367362976,728.950385093689,35.12995147705078,0.0,728.950385093689,764.0803365707397
NE003006005,47973.32774734497,4043.3423233032227,0.08428313217289782,390.66185760498047,0.0,4043.3423233032227,0.0,0.0,0.0
NE003006006,104811.69599819183,14944.894771575928,0.14258804448535733,14944.894771575928,0.0,0.0,0.0,0.0,0.0
NE003007001,79896.43668937683,922.1366624832153,0.011541649423845009,0.0,891.9016609191895,0.0,0.0,0.0,30.23500156402588
NE003007002,91249.60377025604,3524.1368346214294,0.03862084534081195,0.0,3514.413516521454,0.0,0.0,0.0,9.723318099975586
NE003007003,45096.845673561096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003008001,32706.709067344666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003008002,108137.4160861969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003008003,82111.33448505402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE003008004,99945.30807495117,15812.56879901886,0.15821221729749102,0.0,15812.56879901886,0.0,0.0,0.0,0.0
NE004001001,171620.34368038177,204.35504150390625,0.0011907390296600742,0.0,0.0,0.0,0.0,0.0,204.35504150390625
NE004001002,117058.67897129059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004002001,41793.15279006958,3174.803889274597,0.07596468984337928,0.0,0.0,3174.803889274597,0.0,0.0,0.0
NE004002002,113054.46425962448,14382.044708251953,0.127213417023712,6643.702642440796,0.0,7027.365783691406,0.0,0.0,7354.678924560547
NE004003001,92115.22985172272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003002,8715.851113319397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003003,112221.11012172699,1417.529863357544,0.012631579404444848,0.0,0.0,0.0,0.0,0.0,1417.529863357544
NE004003004,40623.35538196564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003005,54854.3652305603,38982.926889419556,0.7106622549649249,0.0,0.0,0.0,0.0,0.0,38982.926889419556
NE004003006,76184.62766456604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003007,19871.10483264923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003008,208304.75157165527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003009,56180.277280807495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003010,27783.802121162415,1612.3029174804688,0.05803031962469986,0.0,0.0,1612.3029174804688,0.0,0.0,0.0
NE004003011,44393.42074775696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE004003012,85384.44827222824,4395.975010871887,0.05148449278323324,4214.991711616516,0.0,0.0,0.0,0.0,180.9832992553711
NE004004001,56315.624240875244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
