ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
TG010101,0.0,256.0,104.43904427041709,106.4,53.08481550273935,0.0,52.96095657348633,22.89775330825545,22.66008758544922,12.24999747636262,12,96,45.710676042832,46.0,18.163950471744002
TG010102,52.0,266.0,172.59109422909697,173.0,46.124613422415194,14.638734817504883,109.77007293701172,38.39806031504297,33.75740051269531,19.484959426501522,120,234,169.1489634341678,170.0,26.443940666442796
TG010104,0.0,137.0,63.77165438809815,68.0,30.201055782133164,0.0,38.684932708740234,8.820411459782822,6.891267538070679,7.507778687462557,0,53,13.888419998569486,10.0,12.685326250370592
TG010103,16.0,142.0,80.4819684216993,81.0,32.790215277963746,1.5609372854232788,26.757822036743164,10.46649146350997,9.333279458407699,5.893439722358217,0,49,17.392885666891925,16.0,11.787350517881656
TG010105,68.0,279.0,182.70857480780592,181.0,51.13128360666592,26.414644241333008,143.53958129882812,59.11001810276504,42.111087799072266,31.525756278709768,103,214,148.43473289966482,144.0,25.31011984943264
TG010106,143.0,248.0,201.83256392045448,203.0,25.283770568848084,43.992652893066406,124.80862426757812,79.93930102884768,72.36412048339844,27.846215210734634,91,175,126.86150568181814,128.0,27.766638721590258
TG010107,22.0,185.0,118.07374756971262,121.0,38.337433385289025,2.2031068801879883,53.013084411621094,22.933328347215394,20.182640075683594,11.64097739084135,2,82,42.71912536287853,44.0,15.312160427316044
TG010108,235.0,365.0,298.71675283642116,301.0,26.765663776693287,27.063541412353516,105.09562683105469,43.75519012798785,39.72218846969768,14.05025083290437,61,157,88.70784862846473,84.0,19.351966507508468
TG010109,54.0,176.0,125.59133610589204,128.0,24.941085331020197,4.159889221191406,57.33855056762695,22.758395182071943,19.90176857069532,11.814221749013523,15,102,41.9485528510207,42.0,18.089679662680012
TG010110,0.0,200.0,85.35836340933584,72.0,47.24960548376433,0.0,88.48956298828125,27.071715848409557,22.662807030311,19.616944956911972,16,117,52.6324512939808,46.0,25.390923107233373
TG010111,151.0,371.0,265.4041809287361,266.0,53.04087688783695,13.761734008789062,148.32241821289062,44.710861913503365,41.33517201741537,20.652521831265606,42,202,92.66818468951534,90.0,30.092320871127033
TG010112,11.0,143.0,78.93968553459115,80.0,30.13507875390997,1.0054248571395874,62.499996185302734,14.382718886047037,10.852798461914062,11.626641520036758,9,88,40.56511530398321,37.0,14.942038974848542
TG010113,49.0,173.0,109.17473580732369,109.0,29.45752753932762,4.707632541656494,71.6491470336914,19.138689873678903,13.222489425816487,14.976477779515122,31,104,50.08556565904809,45.0,16.775351415671857
TG010114,42.0,297.0,151.96802010827534,152.5,60.679444065153874,2.3490071296691895,54.44436264038086,21.27795734420269,20.87996119616991,11.151709074794683,9,112,46.858778035576194,46.0,26.02883230925624
TG010115,0.0,181.0,84.77984911058307,84.0,39.34946904962885,0.0,54.89910125732422,15.815619450888578,13.89720927467642,11.448512486624473,32,104,64.2504902752463,62.99999999999999,14.749673083346787
TG010116,138.0,271.0,207.23245357935295,208.0,31.829622537312158,15.37675952911377,86.07569122314453,37.62927054846577,31.68147087097168,19.30240057191145,45,134,74.32103234847598,71.0,22.083235549968027
TG010117,105.0,341.0,251.75096824689965,263.0,56.02513658552371,11.320869445800781,111.58955383300781,56.44261487561835,51.786319732666016,20.87641993553157,73,253,141.08512475878175,131.0,42.26420992345279
TG010118,64.0,155.0,102.2763323165261,100.0,20.096592372659064,5.479572296142578,40.235809326171875,17.65558994126538,16.741668701171875,9.417383846677206,7,66,28.272923021711815,26.0,14.342889238348508
TG010119,0.0,294.0,145.26871252574824,144.33376963350784,59.31926947628769,0.0,92.28468322753906,31.504623253935844,24.22802304147228,21.46311337435203,43,165,93.80834175205658,88.0,27.053353949458113
TG010120,91.0,216.0,145.3889613211647,141.0,30.385337628389706,5.059542655944824,48.92837142944336,19.121649601440044,17.43792533874512,9.931205985999142,5,64,26.08469747452798,24.0,14.1647905671366
TG010121,166.0,343.0,270.41670210252767,273.0,41.89144606124667,28.626548767089844,147.55682373046875,49.42421163572026,43.05395253499349,21.06348243850855,80,198,111.88251830852828,105.0,25.464322187480416
TG010201,37.0,241.0,145.0522687530825,146.0,44.66324053881328,4.660985946655273,161.32464599609375,41.800986872891826,27.628103949415493,35.14036457884126,103,268,162.76753127381966,159.0,32.158245030101966
TG010202,0.0,184.0,90.77425220602748,91.0,40.59250506216197,0.0,57.4788818359375,16.567546017088436,14.078036017784704,11.563210285343507,101,210,149.7157396182798,147.0,25.02661143496562
TG010203,70.0,377.0,222.20912435614432,220.66666666666666,69.16701536706633,14.179811477661133,175.3489227294922,48.42409053799682,38.575219009343435,34.42445227411969,45,257,103.46789305862148,96.99999999999999,41.3298400223595
TG010204,15.0,162.0,95.62949696308986,96.00000000000001,32.10861282820358,1.560595154762268,108.36414337158203,48.6988593907654,46.22762737159957,15.870799493045148,110,249,187.53870113689456,191.00000000000003,24.38819245481344
TG010205,56.0,241.0,146.6335892918189,151.0,37.269076622118135,13.245291709899902,178.90106201171875,49.607465108419575,38.500113857174256,36.65750394565124,77,303,186.97771320377632,179.0,37.44727809928977
TG010301,11.0,212.0,132.17481788429052,143.0,47.596680327858095,1.2288795709609985,99.27373504638672,30.140985344006406,26.791823895240267,17.055817042823136,4,143,54.317897487331045,53.00000000000001,28.554096305746896
TG010302,0.0,422.0,244.0730294648462,250.4290521592821,111.78989317314287,0.0,217.43881225585938,90.73433392749351,84.44223456772778,59.165255012498726,8,275,127.30149972536093,124.30784708249497,70.22084050864888
TG010303,33.0,149.0,80.96756430058427,78.0,25.01046266326127,2.6954705715179443,45.56035232543945,15.657042301907575,14.796438852945963,10.377962965681112,3,57,27.722449801893763,28.0,13.805726078781884
