ADM2_PCODE,population_TGO_2020
TG0101,435441.5127897523
TG0101,255669.53342332284
TG0101,1.0308643237074196E7
TG0101,4650793.73755006
TG0101,188118.20501426994
TG0101,92165.3722690882
TG0101,745879.0758035774
TG0101,277518.17554838915
TG0101,640655.3028310625
TG0101,978855.6159077655
TG0101,403434.77768116025
TG0101,1099402.1147737245
TG0101,255947.07874250974
TG0101,239182.38067838995
TG0101,431885.3108007245
TG0101,127628.20166937137
TG0101,311645.5779431566
TG0101,237937.22390023025
TG0101,577560.6103235644
TG0101,514036.0864253622
TG0101,455579.70313219586
TG0102,497474.5610928742
TG0102,455952.3779194291
TG0102,356249.44872820587
TG0102,99263.49442139041
TG0102,505471.72680545656
TG0103,963108.4313422096
TG0103,1087574.181353389
TG0103,151292.85190824984
TG0103,360230.0083815431
TG0103,145915.962061512
TG0103,342404.77121972124
TG0103,235143.52162265423
TG0103,1024632.6384377215
TG0103,292051.1536443788
TG0103,1072445.8658368094
TG0103,298140.49262414046
TG0104,655598.7018167984
TG0104,1611502.5871605417
TG0104,1472910.5973599758
TG0104,1007714.2163794427
TG0104,1151483.3843301455
TG0104,5284789.894848758
TG0104,3622609.0456770593
TG0104,728242.8209189016
TG0104,579676.9045019113
TG0104,2602848.661899427
TG0105,1497248.8701327879
TG0105,2039517.0767253267
TG0105,1696106.827264117
TG0105,674253.8917576432
TG0105,557970.8087234494
TG0105,3865901.146234086
TG0105,2631108.502617552
TG0105,1543965.1637694114
TG0105,492619.77566152817
TG0105,2282473.510232951
TG0105,1159737.0663627454
TG0105,253392.5166023403
TG0201,867807.8482178029
TG0201,1246147.8743342024
TG0201,354841.4184327895
TG0201,443011.90566999733
TG0201,268114.23001691065
TG0201,1049200.4269186512
TG0202,803389.0622558052
TG0202,901290.7091953655
TG0202,3495937.712464688
TG0202,658556.7897479801
TG0202,749896.7826825336
TG0202,1976577.256452138
TG0202,481185.809418884
TG0202,333015.3692623733
TG0202,347938.0176724791
TG0202,479975.26420453005
TG0203,420132.9816761986
TG0203,709380.1509756363
TG0203,1277445.9188986085
TG0203,304656.69488568784
TG0203,2239647.71987362
TG0203,356382.76555851934
TG0203,183771.98775639257
TG0203,368722.69584977406
TG0203,601368.0410385573
TG0204,1217421.9242758292
TG0204,5146311.019791781
TG0204,1602342.6809233418
TG0204,3580868.00529348
TG0204,1358367.9703666081
TG0204,270696.1298613157
TG0204,922456.4607280772
TG0204,731293.5318902865
TG0204,1758050.7169956646
TG0204,794742.183409478
TG0204,748261.0053572197
TG0204,1438270.8315268266
TG0205,623083.007055186
TG0205,692323.5651143384
TG0205,651570.9342171615
TG0205,665846.6289336788
TG0205,357919.71838077443
TG0205,289175.9336486666
TG0205,374520.46835904586
TG0205,270053.99692078395
TG0205,319367.27708459797
TG0205,718333.4958218682
TG0205,127247.38819899457
TG0205,922834.5690765909
TG0205,291768.12208337977
TG0205,127317.41402827247
TG0206,722530.5108847232
TG0206,1687111.3826656824
TG0206,1102970.660297641
TG0206,2105158.1457841257
TG0206,594965.994243599
TG0206,1573576.0056036916
TG0206,787805.4758388578
TG0206,1423531.2356666126
TG0206,809509.5832310619
TG0207,1415998.0644231173
TG0207,3440181.3354427437
TG0207,671680.6660295074
TG0207,771463.4801806136
TG0207,459920.98904348596
TG0207,4282399.44222472
TG0207,1030769.4144301168
TG0207,2180921.1579269646
TG0207,1605627.1191284182
TG0207,1136419.081985309
TG0207,660338.9110195019
TG0207,964244.9828695554
TG0207,98480.42148169724
TG0207,1220757.8474523355
TG0207,521797.9633989375
TG0301,1678613.8930082745
TG0301,2685842.9902548925
TG0301,1114271.0480605043
TG0301,722297.1083485172
TG0301,765102.649343903
TG0301,552542.8458898957
TG0301,718620.2562052796
TG0302,3781807.1685547326
TG0302,1606688.985071398
TG0302,2300550.878973477
TG0302,625097.3313294059
TG0302,354240.7299793916
TG0303,1.1125702041490512E7
TG0303,9880915.812165145
TG0303,1.707531483799193E7
TG0303,3.0632995295882635E7
TG0304,5871456.589221303
TG0304,798058.9998177922
TG0304,3393889.7681621946
TG0304,1383212.245698488
TG0304,1574823.3966660455
TG0304,1366264.843099348
TG0304,3016062.3061555442
TG0305,6.935463089167129E7
TG0306,2085953.5938509768
TG0306,1444696.4399634034
TG0306,1103921.6090603396
TG0306,1426320.6261904861
TG0306,1130637.640013214
TG0306,744895.7893017634
TG0306,1644195.549824047
TG0306,1919306.0293715936
TG0306,1387664.7167337602
TG0306,4847490.305447489
TG0307,1625326.292621628
TG0307,1035325.0818127199
TG0307,847921.4047013224
TG0307,1092672.8531373863
TG0307,589543.4516995294
TG0307,2752318.255620492
TG0307,425909.6826472711
TG0307,1634556.9294440635
TG0307,2337633.972973856
TG0307,1179406.8298659234
TG0307,907688.5477688806
TG0307,1049612.0197546787
TG0308,3596368.756126841
TG0308,2663093.825434761
TG0308,639518.85761261
TG0308,1960706.1627728944
TG0308,2237422.8239882216
TG0308,2059131.1790868426
TG0308,1971697.0635557738
TG0308,1196317.6290891834
TG0308,368015.4599939308
TG0308,1942516.6416588733
TG0308,1012136.9298567672
TG0308,861838.3597857743
TG0308,3697002.8460545554
TG0308,2352101.605966637
TG0308,2923137.872932331
TG0308,552110.0926031234
TG0309,2443531.525365044
TG0309,4.015791671539423E7
TG0309,1.0836171280027444E7
TG0309,1.1956625902361585E7
TG0309,3747055.6958563123
TG0309,1.3144974743438348E7
TG0401,119700.90776096423
TG0401,993897.1333443735
TG0401,200114.3317140319
TG0401,499304.350944422
TG0401,784806.1350504704
TG0401,1021710.8579675568
TG0401,2487422.665756701
TG0401,581028.5026427106
TG0401,615306.3203275943
