COUNTRY,GID_0,NAME_1,GID_1,NAME_2,GID_2,NAME_3,GID_3,TYPE_3,mean_p0,sd_p0,cv_p0
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement1,BEN.8.1.1_1,Arrondissement,.10817311,.31060115,2.8713341
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement10,BEN.8.1.2_1,Arrondissement,.11420836,.31806761,2.7849765
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement11,BEN.8.1.3_1,Arrondissement,.14792873,.35503718,2.4000556
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement12,BEN.8.1.4_1,Arrondissement,.22329991,.41645908,1.8650213
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement13,BEN.8.1.5_1,Arrondissement,.2376059,.42561859,1.7912796
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement2,BEN.8.1.6_1,Arrondissement,.052686904,.22340913,4.2403164
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement3,BEN.8.1.7_1,Arrondissement,.31894478,.46607006,1.4612876
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement4,BEN.8.1.8_1,Arrondissement,.11363979,.31737623,2.7928267
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement5,BEN.8.1.9_1,Arrondissement,.24242425,.42856997,1.7678511
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement6,BEN.8.1.10_1,Arrondissement,.18192784,.38578689,2.120549
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement7,BEN.8.1.11_1,Arrondissement,.30042937,.45845497,1.5259992
Benin,BEN,Littoral,BEN.8_1,Cotonou,BEN.8.1_1,Arrondissement8,BEN.8.1.12_1,Arrondissement,.13942254,.34639174,2.4844744
